종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,latest_posts,code
보원케미칼,11070,+22.05%,296,KOSDAQ,,"[{'title': '시외매동 알려줄께[1]', 'likes': '19', 'link': '/item/board_read.naver?code=0010F0&nid=416878111&page=6', 'body': ''}, {'title': 'ㅋㅋㅋ속보봣지? 내그럴줄알앗다. 10퍼 그냥먹...[1]', 'likes': '11', 'link': '/item/board_read.naver?code=0010F0&nid=416886823&page=3', 'body': ''}, {'title': '흥구석유,현대에너지솔루션, 흥아해운,태경 케미...', 'likes': '10', 'link': '/item/board_read.naver?code=0010F0&nid=416887336&page=2', 'body': ''}, {'title': '하따한 사람이 승자네', 'likes': '10', 'link': '/item/board_read.naver?code=0010F0&nid=416883039&page=4', 'body': ''}, {'title': '하한가에[3]', 'likes': '9', 'link': '/item/board_read.naver?code=0010F0&nid=416878245&page=6', 'body': ''}]",0010F0
씨엔플러스,404,+21.32%,25,KOSDAQ,,"[{'title': '하~~~[1]', 'likes': '8', 'link': '/item/board_read.naver?code=115530&nid=416870934&page=1', 'body': ''}, {'title': '오늘 깔끔하네', 'likes': '8', 'link': '/item/board_read.naver?code=115530&nid=416861052&page=1', 'body': ''}, {'title': '첫 상 가는 날.', 'likes': '8', 'link': '/item/board_read.naver?code=115530&nid=416855395&page=1', 'body': ''}, {'title': '■ 오늘은 5%~10% 정도 상승 마감 예상됨[2]', 'likes': '6', 'link': '/item/board_read.naver?code=115530&nid=416818077&page=1', 'body': ''}, {'title': '이제 조급한건', 'likes': '5', 'link': '/item/board_read.naver?code=115530&nid=416812087&page=1', 'body': ''}]",115530
남선알미늄,2130,+18.01%,298,KOSPI,,"[{'title': '시외 1970원에[2]', 'likes': '19', 'link': '/item/board_read.naver?code=008350&nid=416885553&page=2', 'body': ''}, {'title': '이란이  공식거부!', 'likes': '19', 'link': '/item/board_read.naver?code=008350&nid=416884409&page=2', 'body': ''}, {'title': '<속보> 이란이 중재안 거부함[1]', 'likes': '18', 'link': '/item/board_read.naver?code=008350&nid=416885946&page=2', 'body': ''}, {'title': '트럼프는 걍 명분쌓기야', 'likes': '17', 'link': '/item/board_read.naver?code=008350&nid=416885393&page=2', 'body': ''}, {'title': '시외 털린넘들은[1]', 'likes': '16', 'link': '/item/board_read.naver?code=008350&nid=416882277&page=3', 'body': ''}]",008350
디이엔티,5040,+17.62%,27,KOSDAQ,,"[{'title': '오랜만에 큰 거래량이 들어왔습니다[4]', 'likes': '8', 'link': '/item/board_read.naver?code=079810&nid=416848740&page=1', 'body': ''}, {'title': '얼척없네요[3]', 'likes': '7', 'link': '/item/board_read.naver?code=079810&nid=416857440&page=1', 'body': ''}, {'title': '지켜보자구[2]', 'likes': '6', 'link': '/item/board_read.naver?code=079810&nid=416843536&page=1', 'body': ''}, {'title': '상호가 얼마나 뭐 같았으면 ㅋ', 'likes': '5', 'link': '/item/board_read.naver?code=079810&nid=416860040&page=1', 'body': ''}, {'title': '아무런 이슈없이 급등하는게 좋은거 아...[1]', 'likes': '5', 'link': '/item/board_read.naver?code=079810&nid=416854314&page=1', 'body': ''}]",079810
기가레인,2390,+16.87%,291,KOSDAQ,,"[{'title': '시간외', 'likes': '15', 'link': '/item/board_read.naver?code=049080&nid=416879432&page=2', 'body': ''}, {'title': '기가레인  10년차트 분석,[1]', 'likes': '14', 'link': '/item/board_read.naver?code=049080&nid=416824419&page=12', 'body': ''}, {'title': '10년 20년 전세계 먹거리주입니다', 'likes': '12', 'link': '/item/board_read.naver?code=049080&nid=416862968&page=4', 'body': ''}, {'title': '오늘 못사면', 'likes': '12', 'link': '/item/board_read.naver?code=049080&nid=416811139&page=14', 'body': ''}, {'title': '그래야 이제 5배 상승 텐버거', 'likes': '11', 'link': '/item/board_read.naver?code=049080&nid=416884624&page=1', 'body': ''}]",049080
GS글로벌,3690,+16.40%,146,KOSPI,,"[{'title': 'GS글로벌직원인 지인왈!', 'likes': '14', 'link': '/item/board_read.naver?code=001250&nid=416850990&page=3', 'body': ''}, {'title': '물렸으면 냅둬 어차피 작전주 성향이라', 'likes': '11', 'link': '/item/board_read.naver?code=001250&nid=416847248&page=3', 'body': ''}, {'title': 'GS글로벌 주요사업 ㅡ 풍력,철강,석탄,...[2]', 'likes': '10', 'link': '/item/board_read.naver?code=001250&nid=416882019&page=1', 'body': ''}, {'title': '형님들 우리G글이도 휴전이 더 호재인거죠?', 'likes': '10', 'link': '/item/board_read.naver?code=001250&nid=416867892&page=2', 'body': ''}, {'title': '꺼억 잘묵고갑니다[2]', 'likes': '10', 'link': '/item/board_read.naver?code=001250&nid=416857315&page=2', 'body': ''}]",001250
미투온,3200,+14.70%,49,KOSDAQ,,"[{'title': '이번주에...[1]', 'likes': '15', 'link': '/item/board_read.naver?code=201490&nid=416862526&page=1', 'body': ''}, {'title': '어차피 난 6000원대라[1]', 'likes': '14', 'link': '/item/board_read.naver?code=201490&nid=416865424&page=1', 'body': ''}, {'title': '첫거래량터졌으니[2]', 'likes': '9', 'link': '/item/board_read.naver?code=201490&nid=416852865&page=1', 'body': ''}, {'title': '몇일만 기다려라!!', 'likes': '9', 'link': '/item/board_read.naver?code=201490&nid=416815584&page=3', 'body': ''}, {'title': ""'사냥개들2', 공개 이틀 만에 글로벌 2위…K..."", 'likes': '8', 'link': '/item/board_read.naver?code=201490&nid=416852453&page=1', 'body': ''}]",201490
한국첨단소재,4095,+14.55%,240,KOSDAQ,,"[{'title': ""한국첨단소재, 블록체인 양자보안 플랫폼 '퀀텀세...[2]"", 'likes': '18', 'link': '/item/board_read.naver?code=062970&nid=416886079&page=1', 'body': ''}, {'title': '오늘 나온 공시,  <분석 보고서> 내용...[1]', 'likes': '18', 'link': '/item/board_read.naver?code=062970&nid=416871422&page=2', 'body': ''}, {'title': '[AI 요약] 한국첨단소재의 매매거래 정지 및 ...[1]', 'likes': '14', 'link': '/item/board_read.naver?code=062970&nid=416885803&page=1', 'body': ''}, {'title': '오빠들~모래 상한가 찍어준데요[1]', 'likes': '14', 'link': '/item/board_read.naver?code=062970&nid=416885397&page=1', 'body': ''}, {'title': '광통신만으로도 이미 최소 만원은 가야하고', 'likes': '13', 'link': '/item/board_read.naver?code=062970&nid=416810050&page=10', 'body': ''}]",062970
알루코,2780,+13.93%,129,KOSPI,,"[{'title': '이란이 미국제안을 받지 않을거임[2]', 'likes': '8', 'link': '/item/board_read.naver?code=001780&nid=416879521&page=1', 'body': ''}, {'title': '알미늄주 중에 얘가 꼴등[1]', 'likes': '7', 'link': '/item/board_read.naver?code=001780&nid=416840155&page=3', 'body': ''}, {'title': '얜 진짜 웃기네', 'likes': '7', 'link': '/item/board_read.naver?code=001780&nid=416832208&page=4', 'body': ''}, {'title': '목표가[1]', 'likes': '6', 'link': '/item/board_read.naver?code=001780&nid=416878157&page=1', 'body': ''}, {'title': '속보] 중재안 받은 이란 ""美 종전 의지 부족...', 'likes': '6', 'link': '/item/board_read.naver?code=001780&nid=416871058&page=1', 'body': ''}]",001780
KBI메탈,2470,+13.56%,21,KOSDAQ,,"[{'title': 'KBI 메탈 기사 2000억 가자', 'likes': '6', 'link': '/item/board_read.naver?code=024840&nid=416890107&page=1', 'body': ''}, {'title': '마감시간오니', 'likes': '6', 'link': '/item/board_read.naver?code=024840&nid=416855908&page=1', 'body': ''}, {'title': '25년을 박스에 가뒀는데[2]', 'likes': '3', 'link': '/item/board_read.naver?code=024840&nid=416869755&page=1', 'body': ''}, {'title': '가는 김에 상 가즈아~~', 'likes': '3', 'link': '/item/board_read.naver?code=024840&nid=416852344&page=1', 'body': ''}, {'title': '전쟁 그 이 후~', 'likes': '3', 'link': '/item/board_read.naver?code=024840&nid=416811144&page=2', 'body': ''}]",024840
한주에이알티,770,+13.24%,3,KOSDAQ,,"[{'title': '10% 이상 상승했어요 🎉[1]', 'likes': '2', 'link': '/item/board_read.naver?code=058450&nid=416848531&page=1', 'body': ''}, {'title': '[AI 요약] 한주에이알티(주)가 투자주의 종...', 'likes': '0', 'link': '/item/board_read.naver?code=058450&nid=416885588&page=1', 'body': ''}, {'title': '5% 이상 상승했어요 🎉', 'likes': '0', 'link': '/item/board_read.naver?code=058450&nid=416840864&page=1', 'body': ''}]",058450
그린리소스,14900,+13.22%,95,KOSDAQ,,"[{'title': '빅뉴스[4]', 'likes': '7', 'link': '/item/board_read.naver?code=402490&nid=416825944&page=4', 'body': ''}, {'title': '그린리소스 좋은이유[1]', 'likes': '6', 'link': '/item/board_read.naver?code=402490&nid=416888285&page=1', 'body': ''}, {'title': '우리주인장!![3]', 'likes': '6', 'link': '/item/board_read.naver?code=402490&nid=416867779&page=1', 'body': ''}, {'title': '삼성전자 파운드리 부문 뉴스가 대폭발하면서[2]', 'likes': '5', 'link': '/item/board_read.naver?code=402490&nid=416859913&page=1', 'body': ''}, {'title': '10만원도 갈 수 있는 주식이다', 'likes': '5', 'link': '/item/board_read.naver?code=402490&nid=416850057&page=2', 'body': ''}]",402490
세림B&G,2280,+13.15%,114,KOSDAQ,,"[{'title': '내일 장시작 예상[1]', 'likes': '8', 'link': '/item/board_read.naver?code=340440&nid=416876557&page=1', 'body': ''}, {'title': '중재안 전달 속보로 시외 졸라 빼놓고[2]', 'likes': '8', 'link': '/item/board_read.naver?code=340440&nid=416872742&page=1', 'body': ''}, {'title': '상마감했던 진영(역시 나프타 테마주)은', 'likes': '7', 'link': '/item/board_read.naver?code=340440&nid=416875293&page=1', 'body': ''}, {'title': '신대양제지[1]', 'likes': '6', 'link': '/item/board_read.naver?code=340440&nid=416886407&page=1', 'body': ''}, {'title': '시간외가마지막 탈출기회', 'likes': '6', 'link': '/item/board_read.naver?code=340440&nid=416876813&page=1', 'body': ''}]",340440
풍산,109300,+12.91%,298,KOSPI,,"[{'title': '그냥 기다리기만 하면되는데 왜 안달일까?[2]', 'likes': '28', 'link': '/item/board_read.naver?code=103140&nid=416882658&page=3', 'body': ''}, {'title': '계속해서 괴롭힐 겁니다[3]', 'likes': '27', 'link': '/item/board_read.naver?code=103140&nid=416885721&page=3', 'body': ''}, {'title': '인수 관련된 주식은[2]', 'likes': '26', 'link': '/item/board_read.naver?code=103140&nid=416881944&page=3', 'body': ''}, {'title': '공매도 박살내는 방법[1]', 'likes': '25', 'link': '/item/board_read.naver?code=103140&nid=416889988&page=1', 'body': ''}, {'title': '한화에어로스페이스가 인수하는 건 99.99...[6]', 'likes': '22', 'link': '/item/board_read.naver?code=103140&nid=416889301&page=2', 'body': ''}]",103140
