종목명,현재가,등락률,당일_게시글수,시장구분,어제_종가,latest_posts,code
풍산,109300,+12.91%,298,KOSPI,,"[{'title': '공매도 박살내는 방법[1]', 'likes': '29', 'link': '/item/board_read.naver?code=103140&nid=416889988&page=2', 'body': ''}, {'title': '그냥 기다리기만 하면되는데 왜 안달일까?[2]', 'likes': '28', 'link': '/item/board_read.naver?code=103140&nid=416882658&page=3', 'body': ''}, {'title': '계속해서 괴롭힐 겁니다[3]', 'likes': '27', 'link': '/item/board_read.naver?code=103140&nid=416885721&page=3', 'body': ''}, {'title': '한화에어로스페이스가 인수하는 건 99.99...[6]', 'likes': '26', 'link': '/item/board_read.naver?code=103140&nid=416889301&page=2', 'body': ''}, {'title': '인수 관련된 주식은[2]', 'likes': '26', 'link': '/item/board_read.naver?code=103140&nid=416881944&page=4', 'body': ''}]",103140
삼성E&A,45650,+12.58%,298,KOSPI,,"[{'title': '■■■수고들 하셨습니다■■■[3]', 'likes': '29', 'link': '/item/board_read.naver?code=028050&nid=416885615&page=2', 'body': ''}, {'title': '■■■미국ㆍ이란ㅡ45일휴전후종전 수용■...[2]', 'likes': '24', 'link': '/item/board_read.naver?code=028050&nid=416887237&page=2', 'body': ''}, {'title': '단기 저점', 'likes': '18', 'link': '/item/board_read.naver?code=028050&nid=416884620&page=3', 'body': ''}, {'title': '단타치다가 배아파하는 거지들이 많네요', 'likes': '15', 'link': '/item/board_read.naver?code=028050&nid=416883652&page=3', 'body': ''}, {'title': '올해 크게 갈 종목 삼엔', 'likes': '14', 'link': '/item/board_read.naver?code=028050&nid=416890120&page=2', 'body': ''}]",028050
후성,9900,+10.99%,298,KOSPI,,"[{'title': '증권회사에 다니시는 지인이[2]', 'likes': '19', 'link': '/item/board_read.naver?code=093370&nid=416887479&page=1', 'body': ''}, {'title': 'Lipf6 시세도 많이 올랐음[1]', 'likes': '17', 'link': '/item/board_read.naver?code=093370&nid=416882979&page=1', 'body': ''}, {'title': '어차피 오른다 이건 중국이 핵심', 'likes': '15', 'link': '/item/board_read.naver?code=093370&nid=416882682&page=1', 'body': ''}, {'title': '추가매수 완료 대박 가봅시다 부족 사태~~', 'likes': '14', 'link': '/item/board_read.naver?code=093370&nid=416826585&page=11', 'body': ''}, {'title': '와 주차실력 지린다[4]', 'likes': '13', 'link': '/item/board_read.naver?code=093370&nid=416885341&page=1', 'body': ''}]",093370
페니트리움바이오,11280,+8.78%,282,KOSDAQ,,"[{'title': 'AACR전[1]', 'likes': '56', 'link': '/item/board_read.naver?code=187660&nid=416864358&page=3', 'body': ''}, {'title': '세력이오늘간좀봤네   내일부터올릴지좀더간을볼...[3]', 'likes': '40', 'link': '/item/board_read.naver?code=187660&nid=416872522&page=2', 'body': ''}, {'title': '챠트상..', 'likes': '34', 'link': '/item/board_read.naver?code=187660&nid=416879333&page=2', 'body': ''}, {'title': '장끝나고 공시나오고[4]', 'likes': '34', 'link': '/item/board_read.naver?code=187660&nid=416858434&page=4', 'body': ''}, {'title': '최근 들어 시외 가장 많이 거래량 터졌다', 'likes': '32', 'link': '/item/board_read.naver?code=187660&nid=416877366&page=2', 'body': ''}]",187660
한일사료,4390,+6.94%,211,KOSDAQ,4105.0,"[{'title': '하수 개미들', 'likes': '12', 'link': '/item/board_read.naver?code=005860&nid=416861017&page=5', 'body': ''}, {'title': '낼은 상한가[3]', 'likes': '11', 'link': '/item/board_read.naver?code=005860&nid=416853782&page=5', 'body': ''}, {'title': '에라. 잣 같은 종목 손절하고 간다.', 'likes': '9', 'link': '/item/board_read.naver?code=005860&nid=416819483&page=8', 'body': ''}, {'title': '공포에 다들 팔았구나..[2]', 'likes': '8', 'link': '/item/board_read.naver?code=005860&nid=416882860&page=1', 'body': ''}, {'title': '유가 상승중 ㅋ', 'likes': '8', 'link': '/item/board_read.naver?code=005860&nid=416881286&page=2', 'body': ''}]",005860
대한광통신,13590,+6.67%,296,KOSDAQ,12740.0,"[{'title': '애들아~~~[10]', 'likes': '67', 'link': '/item/board_read.naver?code=010170&nid=416864550&page=9', 'body': ''}, {'title': '애들아~~~[9]', 'likes': '63', 'link': '/item/board_read.naver?code=010170&nid=416862031&page=9', 'body': ''}, {'title': '오늘의 시황[5]', 'likes': '60', 'link': '/item/board_read.naver?code=010170&nid=416890570&page=2', 'body': ''}, {'title': '외인수급[1]', 'likes': '52', 'link': '/item/board_read.naver?code=010170&nid=416879700&page=4', 'body': ''}, {'title': '세력 운전 솜씨는 여전히 좋네요', 'likes': '51', 'link': '/item/board_read.naver?code=010170&nid=416880588&page=4', 'body': ''}]",010170
S-Oil,118100,+6.01%,207,KOSPI,,"[{'title': '슈팅까지 8거래일 남았따[1]', 'likes': '22', 'link': '/item/board_read.naver?code=010950&nid=416870016&page=2', 'body': ''}, {'title': '너무 부럽다..', 'likes': '18', 'link': '/item/board_read.naver?code=010950&nid=416833034&page=5', 'body': ''}, {'title': '아시아향 원유 공식 판매가격(OSP)이 역대...[2]', 'likes': '13', 'link': '/item/board_read.naver?code=010950&nid=416881689&page=1', 'body': ''}, {'title': 'osp 19.5불[2]', 'likes': '12', 'link': '/item/board_read.naver?code=010950&nid=416880775&page=1', 'body': ''}, {'title': 'S-oil은 가만 놔두고 있으면', 'likes': '12', 'link': '/item/board_read.naver?code=010950&nid=416864165&page=2', 'body': ''}]",010950
삼아알미늄,38000,+5.56%,144,KOSPI,,"[{'title': '미장 알미늄주 현재 신호는', 'likes': '11', 'link': '/item/board_read.naver?code=006110&nid=416889048&page=1', 'body': ''}, {'title': '내일은 삼아가 대장 이다', 'likes': '10', 'link': '/item/board_read.naver?code=006110&nid=416878821&page=1', 'body': ''}, {'title': '현재 외신 보도', 'likes': '8', 'link': '/item/board_read.naver?code=006110&nid=416887819&page=1', 'body': ''}, {'title': '전쟁 휴전??아직도 그말을 믿는 바보는 없겠지??ㅋㅋ...', 'likes': '8', 'link': '/item/board_read.naver?code=006110&nid=416880106&page=1', 'body': ''}, {'title': '개인만 털린듯~~', 'likes': '7', 'link': '/item/board_read.naver?code=006110&nid=416887117&page=1', 'body': ''}]",006110
케이뱅크,6180,+5.10%,212,KOSPI,,"[{'title': '찬반토론 진행하겠습니다', 'likes': '19', 'link': '/item/board_read.naver?code=279570&nid=416864725&page=1', 'body': ''}, {'title': '8100원대 입니다.[16]', 'likes': '17', 'link': '/item/board_read.naver?code=279570&nid=416836676&page=5', 'body': ''}, {'title': '오늘 케이뱅크에서 탈출하지 않았다?[2]', 'likes': '13', 'link': '/item/board_read.naver?code=279570&nid=416867308&page=1', 'body': ''}, {'title': '신기하네...', 'likes': '13', 'link': '/item/board_read.naver?code=279570&nid=416860750&page=2', 'body': ''}, {'title': '6500원대 물린 호구 없제?[5]', 'likes': '10', 'link': '/item/board_read.naver?code=279570&nid=416837865&page=4', 'body': ''}]",279570
신성이엔지,3575,+3.77%,284,KOSPI,3445.0,"[{'title': '보수와 진보가 있듯[2]', 'likes': '18', 'link': '/item/board_read.naver?code=011930&nid=416885768&page=1', 'body': ''}, {'title': '아침에 말한대로[4]', 'likes': '18', 'link': '/item/board_read.naver?code=011930&nid=416871427&page=3', 'body': ''}, {'title': '시외로 답 나왔다[2]', 'likes': '16', 'link': '/item/board_read.naver?code=011930&nid=416877649&page=2', 'body': ''}, {'title': '좋냐![6]', 'likes': '15', 'link': '/item/board_read.naver?code=011930&nid=416851074&page=5', 'body': ''}, {'title': '크게 한번 승승장구 해서 월세 탈하길...[3]', 'likes': '14', 'link': '/item/board_read.naver?code=011930&nid=416859046&page=4', 'body': ''}]",011930
