시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSPI,000390,삼화페인트,7930,11.21%,6100,11.29%,+30.00%,212,삼화페인트 상한가 이유[3] / 내가 왠만하면 글안쓸려했는데[4] / 다시한번 여러분에 세뇌시킵니다[1] / 오늘 거래량의 의미 와 차트분석[1],Positive (66%),"경영권, 상한가, 지분",False
KOSDAQ,223250,드림씨아이에스,7030,49.57%,5410,51.74%,+29.94%,137,쓰러담으라 했잖오[1] / 바이오중에서 무차입경영+매년 유일 흑자회사...[1] / 미국 임상시험 대장주 큐리바이오 인수함..[4] / 25년 3분기 누적 순이익 159억 달성[2],Positive (75%),"오늘, 이상, 상승했어요",False
KOSDAQ,100790,미래에셋벤처투자,14240,1.14%,10960,1.98%,+29.93%,424,스페이스X 4천억 투자가  4조원 가치 되었다... / 얘는 참고로 xAI에도 투자했음. / 스페이스X최대수혜주 / 520만원 아래서는 절대 팔지마라[2],Positive (57%),"상한가, 스페이스X, 오늘",False
KOSPI,067830,세이브존I&C,4060,8.63%,3125,9.06%,+29.92%,129,창사  24년 만에  첫 상한가 축하해요...[2] / 상잔량적고 시간외단일가 거래거의말랏는디[2] / 상잔량 못 쌓는 이유 ㅋㅋ[1] / 내일 갭은.무조건 뜰것같은 점상이냐 10...[1],Positive (66%),"이상, 상승했어요, 땅이",False
KOSDAQ,027360,아주IB투자,3305,0.36%,2700,0.50%,+22.41%,304,시간외 상한가.[1] / 중요한건 얼마 투자냐인데.[1] / 정리해줄께여 / 불과  며칠전만해도 마이너스 2400만원정도였는...,Positive (61%),"미래, 이상, 상승했어요",False
KOSDAQ,478340,나라스페이스테크놀로지,31200,0.06%,27150,0.09%,+14.92%,535,"그나마 다행인점.[1] / 이 주식이 매력적인 이유[1] / 시외 상한가 만들고 낼 아침 갭상에 던지는 ...[2] / 장마감후 글쓰려고했으나,",Positive (52%),"어제, 오늘, 상한가",False
KOSPI,128820,대성산업,11810,1.65%,10430,1.51%,+13.23%,800,욕심내지말고   크리스마스 까지[2] / 장마감[2] / 이야~~멋지긴  멋지다[3] / 20만원까지 홀딩[4],Positive (56%),"오늘, 하한가, ...",True
KOSDAQ,319400,현대무벡스,13600,1.56%,12380,0.96%,+9.85%,707,무벡스가 앞으로도 오를이유 / 27000원 까지 간다던데[1] / 실적시즌 지금 로봇주 옥석가리기 들어간듯[1] / 무슨차트[2],Negative (54%),"오늘, 내일, 진짜",False
KOSPI,006800,미래에셋증권,22100,10.88%,20450,10.65%,+8.07%,176,미래에셋 스페이스X 최대 3조원대 차익 기대 / 4년치 영업이익이라면[1] / 지금 매수해도 ㅎㅎ[2] / 미래에셋증권이 압도적으로 많음[1],Positive (55%),"오늘, 내일, 어제",False
KOSPI,001520,동양,878,1.51%,816,1.68%,+7.60%,251,동양고속이랑 무슨 관계인가요?[4] / 동양고속 지분[2] / 개미들 다물려 시외 많이빠질듯[1] / 지난번에도 얘기했지만~ 오래동안 물렸다 반등하는...,Positive (53%),"동양, 오늘, 이상",False
