시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,0099X0,IBKS제25호스팩,5080,,2000,,+154.00%,124,방금  IBK스팩으로 1300만원  따먹...[3] / 삼성스팩주 아니면 개잡주임[1] / 2천원 이상 매수금지 / 5천만원 밀어넣고 5분만에 6200원에 엑싯 1...[4],Positive (80%),"이상, 스팩주, 그냥",False
KOSDAQ,100790,미래에셋벤처투자,18510,1.19%,10960,1.98%,+29.99%,269,월요일 투경 아닌 이유[2] / 이건 단순히 스페이스때문에 가는게 아닌데...[2] / 내가 수익율43%인데도 안파는 이유[1] / 한국경제TV에서 총금액중 미래증권이 90%투자[3],Positive (59%),"어제, 오늘, 스페이스X",False
KOSDAQ,417010,나노팀,8150,0.56%,6130,0.83%,+29.98%,65,쩜상 경험부탁드립니다.[1] / 어제 털린호구잇누?[1] / 월요일 1만원 돌파 하냐[2] / 스페이스 x 총대장,Positive (83%),"어제, 스페이스, 이상",False
KOSPI,000390,삼화페인트,10140,11.22%,6100,11.29%,+27.87%,185,팩트체크 / 경영권 분쟁은 단순히[1] / 이게 동양고속처럼 가겟냐?[2] / 아침부터 방송에서 전국적으로 알려주네,Negative (52%),"오늘, 상한가, 경영권",False
KOSDAQ,027360,아주IB투자,4040,0.32%,2700,0.50%,+22.24%,203,뉴스에 나왔네요 20조 추정 ib투자[4] / 초대박 / 지금 증권사맨들 미침ㅂㄱ / 미래애셋벤쳐와 아주IB투자의 관계는[1],Positive (77%),"ㅋㅋ, ㅇㅇ, 이상",False
KOSDAQ,478340,나라스페이스테크놀로지,37450,0.07%,27150,0.09%,+20.03%,208,VI뚫으면[2] / 종가는 상한가다.[1] / 상한가 직전에서 개미한테 팔고 / 오늘은[2],Positive (77%),"상한가, 오늘, 이상",False
KOSDAQ,225190,LK삼양,1425,1.28%,1202,1.19%,+17.28%,40,"오늘은 털기인가? 다음주에 기대되네 / 와...이제 가냐 / 오늘 상각임? / [특징주] LK삼양 급등, “스페이스X 팰콘9...",Positive (87%),"이상, 상승했어요, 오늘은",False
KOSDAQ,488900,비츠로넥스텍,11470,0.90%,9200,1.00%,+13.56%,76,보호해제 물량 / 담주월요일 보호예수 폭탄입니다 / 도뫙쳐!!!! / 뭘 쫄아서 자꾸 던져....,Positive (66%),"보호예수, 이상, 상승했어요",False
KOSDAQ,250060,모비스,3185,5.68%,2985,5.63%,+9.64%,44,"트럼프 미디어, 핵융합 기업 TAE와 합병뉴스는 / 상한가 한번 치면 코오롱모빌리티처럼 점상으로 며칠 ... / 형이뭐라고햇냐[5] / 일진 비츠로넥 모비스중   차트는 월봉까...[2]",Positive (75%),"핵융합, 이상, 상승했어요",False
KOSPI,001780,알루코,2100,2.96%,1986,3.01%,+7.25%,40,lg엔솔 계약 취소했는데[1] / 상한가 / 오늘 일본 금리인상 발표..엔캐리 트리거. / 스페이스x,Positive (100%),"이상, 형들, 상승했어요",False
KOSPI,272210,한화시스템,52400,7.70%,49750,7.74%,+7.05%,112,"상한가 찍어야 정상아님?[1] / 이거 10만 갈듯[1] / 솔직히 호재로만 보면 / 내려왔던 이유, 올라가는 이유",Positive (62%),"오늘, 상한가, 이거",False
KOSDAQ,209640,와이제이링크,4340,2.46%,3875,2.92%,+5.98%,51,스페이스X 유일 직납 작년엔 7천원9천원 상치... / 최대수혜주다 걍 묻어놔 / 다들텨라ㅋㅋ / 여기는 왁자지껄 하구만,Positive (63%),"오늘, 무빙, 이상",False
KOSPI,452260,한화갤러리아,1635,1.30%,1443,1.51%,+5.96%,119,상식적으로 생각하는 사람들이 없네[2] / 오늘상한가 / 1700에 본드발랏나[2] / 3거래 단일가 무시하고 거래하는 방법은,Negative (55%),"단기과열, 이상, 지금",False
