시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,0013V0,삼진식품,20950,,7599,,+175.66%,275,장외에서[5] / 끔이 현실로?[2] / 오뎅회사 무시하지마라!![1] / 영업이익 72억 오뎅집이,Negative (68%),"오뎅, ..., 비교기업을",False
KOSDAQ,0099W0,미래에셋비전스팩11호,3955,,2000,,+97.75%,88,5천원 넘길줄알고 존버하다가[1] / 한방에 쏘려고 / 그래도 미래에셋인데 / 오전중으로,Positive (77%),"이상, 상승했어요, 2천원",False
KOSPI,012200,계양전기,3445,2.35%,2040,2.47%,+30.00%,41,시장에서는 완전히 로봇관련주라고 평가하... / 내 백만원이[1] / 계약간이2030년까지  완전대박 텐버거... / 3연상 달성 성공 축하.,Positive (83%),"시장에서는, 완전히, 로봇관련주라고",False
KOSDAQ,100790,미래에셋벤처투자,20900,1.47%,14240,1.19%,+22.37%,271,스페이스X의 IPO 최대수혜[4] / 내가 얘기했잖아..나 신용 몰빵충이라고[2] / 투경이 문제다[3] / 넥스트장  9%에 다 팔었다..[2],Mixed,"오늘, 스페이스X, ...",False
KOSDAQ,319400,현대무벡스,16550,1.00%,13600,1.51%,+21.69%,250,220퍼수익중[3] / 현대무벡스 언제 뺄지 고민중이라면...... / 오늘 장대음봉 예상 해봄 / 얘들아 미춌따,Positive (60%),"오늘, 로봇, 현대무벡스",False
KOSDAQ,264850,이랜시스,7560,3.73%,5810,2.96%,+20.00%,82,"삼성전자 로봇의 숨은 축…이랜시스, 이제 실적... / 1년 박스권을 뚫어냄 / 상한가 10초컷 / 삼성전자 로봇 찐 벨류체인에 들어가는",Positive (81%),"이상, 이제, 로봇",False
KOSDAQ,049630,재영솔루텍,3100,2.67%,2775,2.78%,+11.71%,45,왠일? 100조 규모시장 / 여러분[2] / 인생역전할 기회[1] / 내년 2월까지,Positive (71%),"상한가, 이상, 상승했어요",False
KOSPI,001430,세아베스틸지주,49000,6.19%,45350,6.50%,+11.49%,43,배포가 작아서 15프로만 먹고 빠집니다[2] / 환율과 우량함으로 결국 대장한다. / 대장주 나노팀 폭락[1] / 꼴찌주[1],Mixed,"오늘, 이상, 상승했어요",False
KOSDAQ,203400,에이비온,2990,1.97%,2860,2.19%,+10.33%,58,시총 5조원이 적정 / 계약금공시[1] / 알테오젠 에이비엘 리가켐 / 상한가,Mixed,"이상, 오늘, 상승했어요",False
KOSDAQ,488900,비츠로넥스텍,12170,1.12%,10100,0.90%,+9.64%,42,"13층에서 오지게 물렸뿟네 올라올까요?[1] / 더 갈수밖에없는 이유,,,[1] / 대체거래소 우주 대폭발 + 럼프 핵융합 / 계단식",Positive (88%),"이상, 상승했어요, 오늘",False
KOSDAQ,466100,클로봇,70900,5.21%,63700,4.88%,+8.58%,103,클로보티즈[2] / 주주들은 좋겠네 ㅎ / 클로봇 30만원 목표 / 내 생각보다..더 클놈인듯..,Positive (71%),"대장, 오늘, 로봇",False
KOSDAQ,0101C0,하나36호스팩,2160,,1999,,+8.00%,132,진짜 / 내가사서 반토막이다ㅋㅋ / 위로 / 한번은 쏜다,Positive (75%),"지금, 하니36호도, 5천원",False
KOSDAQ,090710,휴림로봇,5910,2.16%,5480,2.25%,+7.07%,47,오늘휴림로봇 상한가 가능성높음[3] / 더도말고 덜도말고 일단 8천원은 찍어라 / 오늘부터[2] / 오늘[1],Positive (100%),"일단, 상한가, 오늘[1]",False
KOSPI,000390,삼화페인트,9170,10.71%,7930,11.22%,+6.38%,69,종가 상한가 / ^^반도체관련주^^[3] / 윤씨도 있지만 kcc도 지분경쟁 들어올수도[1] / 경영권 분쟁을 실제로 하든말든,Positive (62%),"윤씨, 이상, 종가",False
KOSDAQ,098460,고영,25050,18.74%,23900,19.34%,+5.70%,116,혼자 또 / 의료 로봇[1] / 이놈은 사고싶지가않음... / 서서히,Negative (68%),"개잡주, 프로그램, 오늘",False
KOSPI,000660,SK하이닉스,574000,53.33%,552000,53.37%,+4.94%,227,투경이랑 거래정지 헛갈리지 마라 / 거래소 없어져야 대한민국 주식시장 살아납니다...[2] / 진짜 큰거 한방은 1월에 나옵니다 / 백만닉스라는 말이[1],Negative (56%),"투경, 삼성전자, 거래정지",False
KOSDAQ,030530,원익홀딩스,34650,2.37%,32300,2.58%,+4.84%,56,오늘 상갈 수 밖에 없어요[1] / 10%상승 기도중 / 이제 그만 털고[1] / 역시 원홀은 믿고 가야한다.. 아직 갈 길이 멀...[1],Positive (71%),"오늘, 이제, 하나",False
KOSDAQ,478340,나라스페이스테크놀로지,37400,0.63%,31200,0.07%,+3.89%,49,안티덜[1] / 3연상시작점 / 미래에셋 벌써10프로 / 국정 업무 보고에서 우주항공 예산 늘리...,Positive (62%),"오늘, 무벡스, 오늘은",False
KOSPI,272210,한화시스템,56200,8.01%,48950,7.70%,+3.50%,50,전투기 핵심 부품 미국에 수출 / 신고가 돌파하면 엄청난 시세가 터질것 입니다...[1] / 57층에[3] / 영업 마무리,Mixed,"전투기, 핵심, 공매도",False
KOSPI,005930,삼성전자,109850,51.98%,107600,52.11%,+3.34%,387,"<속보> "" 삼성전자 내년에 영업이익...[3] / ★ 속보) 삼성전자 HBM4, 엔비디아서 최...[1] / 정권만 바뀌 었는데 울나라 지수 날라가네..[2] / 본장시작하면 ㅡㅡㅡㅡㅡㅡㅡ",Negative (51%),"오늘, 11만원, 11만",False
KOSPI,452260,한화갤러리아,1583,1.52%,1543,1.30%,+2.93%,93,이거 보고 나가리라는 사람은 한갤에 대해 진짜...[2] / 닝기리 우선주만 주식이냐[1] / 내가 팔면 오르는 기적은 오늘도 계속된다. / 오늘은 장사 끝[1],Negative (55%),"오늘도, 우선주만, 최소",False
KOSPI,006800,미래에셋증권,23300,11.06%,22100,10.88%,+2.64%,47,아침에 프로그램 매도하는 척 하더니[3] / ■12월까지 보유.. 배당도 받고.. 미...[1] / 공매도세력들 난리났네 ~~ / 25년차,Negative (69%),"공매도, 프로그램, 형님들",False
KOSPI,034020,두산에너빌리티,79100,22.48%,74500,22.43%,+2.20%,127,오늘 8만5천원 넘기면 공매도[1] / 해제되었으니[1] / 매도금지 / 오늘 투자경고해제됐는데 왜 미수 안되죠?[1],Negative (66%),"오늘, 공매도, 원전",False
KOSPI,010140,삼성중공업,25050,30.67%,23800,30.51%,-1.38%,45,그래서 그렇게 떠들던 FLNG[1] / 자사주소각[1] / 시뻘건불기둥장에 / 오늘 포함 남은 6영업일...,Negative (80%),"..., 오늘, 삼중은",False
