시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,274090,켄코아에어로스페이스,18340,3.89%,15170,4.61%,+23.42%,223,흔들기 죽이네 ㅎㅎㅎ / 슬픈 켄코아[1] / 유동주식수 천만개뿐이다 / 전 다 매도하고 나갑니다.,Positive (80%),"역시, 상한가, 이상",False
KOSPI,010580,에스엠벡셀,2342,1.06%,1967,1.09%,+23.13%,70,"3분만에 잘 먹고 감[4] / 손절하고 또물린 / 그냥 같은 그룹 안에서 지분 교환, 바꾼 건데....[2] / 난 하차",Positive (80%),"이상, 상승했어요, 상한가",False
KOSDAQ,488900,비츠로넥스텍,16080,0.96%,14430,0.67%,+21.82%,134,비츠로넥스텍 향후 일정 / 급등이유[1] / 미래에셋벤처투자 대장이 안가는데 / 어제 손절쳐서 구경만 하고있는,Positive (57%),"상한가, 딸랑딸랑, 오늘",False
KOSDAQ,317830,에스피시스템스,14780,0.86%,12500,1.25%,+18.52%,64,문 닫자![3] / 에스피시스템스참 쉬운 로봇자동화 마로솔 ... / 15500 / 1월 CES때까지는,Positive (92%),"이상, 상승했어요, 같이",False
KOSPI,004310,현대약품,7680,2.22%,6510,2.21%,+13.61%,239,오늘 상치면 팔아야지 / 어차피 일만원 이하 / 속보)현대약품 주주들 크리스마스 이브날 탈모 스따...[1] / 애들아 정신차려...,Positive (59%),"찬티알바, 희망회로,, 정신승리",False
KOSDAQ,319400,현대무벡스,18830,2.18%,16130,1.61%,+11.42%,402,이만터치합시다[2] / 에휴 만원에 다팔았떠니[3] / 솔까 투경? 거래정지? 말고 악재가 있나? / 보유자의 영역이 되버렸다,Positive (52%),"오늘, 미수신용으로, 전재산",False
KOSDAQ,478340,나라스페이스테크놀로지,38250,1.46%,45650,0.35%,+9.76%,237,겁나게 털어대네 / 뭐야? 왜 이렇게 빠져 이노는 마이너스... / 포스코가 투자했고만~ / 올라가자,Positive (57%),"오늘, 어제, 이상",False
KOSDAQ,049630,재영솔루텍,3385,3.52%,3100,4.21%,+9.72%,84,재영은 / 전망 / 오늘은 신고가 >>> 수십년만의 기회[3] / ((((수고들하세요 3500원 마지막다 매도)...[2],Negative (53%),"이상, 상승했어요, 신고가",False
KOSDAQ,125490,한라캐스트,18280,0.41%,17290,1.20%,+9.00%,218,"방금쩜상속보>한라캐스트, 전장·자율주행 부품...[1] / 다시한번 탄렫받아사[1] / 글로벌 ai면 테슬라 맞지? / 2월20일",Positive (61%),"ㅋㅋ, 오늘, 2만원",False
KOSDAQ,090710,휴림로봇,6720,4.78%,5820,3.02%,+7.87%,152,"SK 인수설 또 확산,中 오마크와 업무협약,25...[2] / 기다리라고했지 휴림15만원간다[1] / 전국병원에 자율전동휠체어깔리면 매출엄청나다[1] / 상3번 갑니다",Positive (58%),"오늘, 상한가, 휴림",False
KOSDAQ,208370,셀바스헬스케어,6340,1.14%,5810,1.54%,+7.46%,333,그냥 저번주부터 홀딩하고있는 주주인데 / 단타 다 떨군듯. 빅파마투자 상뉴스맞음.[2] / 허위 뉴스로 금감원 신고 들간다 / 아래부터 사모으면서 올라와서,Positive (56%),"오늘, 진짜, ...",False
KOSDAQ,003310,대주산업,2790,2.55%,2450,1.99%,+5.08%,119,"지방 선거 황제주 답게 상 치고 / 내생각에 진짜 힘은[1] / 1차 목표가 3천원, 2차 목표가 5천원 / 오후에 상한가네요",Positive (81%),"정원오, 상한가, 관련주",False
KOSDAQ,330350,위더스제약,8860,0.83%,8680,0.88%,+4.36%,62,진짜 보합가냐?미친거냐[1] / 오늘은 어제와 달리[1] / 야 너거 또당했제? / 뒤저스제얔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ...,Positive (72%),"이상, 상승했어요, 탈모",False
KOSDAQ,030530,원익홀딩스,36400,3.07%,33700,2.23%,+3.70%,109,조심스럽게 목표가 15만 잡아봅니다[1] / 주식좀 한다는 사람들이 추천하던데[4] / 오늘 VI 갈때 됬다 / 무벡이 거침없이 올라가네[1],Positive (56%),"오늘, 전고점, 역시",False
KOSPI,249420,일동제약,38250,4.83%,36650,5.29%,+2.55%,133,오 예 NXT 좋다[1] / 🚍대차 대량상환 🥎 공매 도망중[3] / 장투주주 키움입니다[2] / 🚀오늘이 3연상의 첫날🔺[3],Negative (52%),"오늘, 진짜, 이상",True
KOSPI,005930,삼성전자,111400,52.22%,110500,52.13%,-0.09%,601,베네수엘라[4] / 삼전도 나스닥 갑시다. / 하닉은  투자경고인데도[2] / 신한이 주식시장의,Negative (52%),"..., 오늘, 삼전",False
KOSPI,022100,포스코DX,29500,4.05%,26700,3.85%,-0.84%,152,4조짜리가[1] / 이번에도 양치기 소년이냐 ㅋㅋ[1] / 방송 추천하고 / 주주들 한심ㅋㅋ30억투자가 로봇테마주냐...,Mixed,"이제, 15분봉, 배당",False
KOSPI,006800,미래에셋증권,23225,10.90%,23000,10.99%,-2.82%,109,■스페이스X 상장일[1] / 개미들이 더 무서움. 무식해서....[2] / 응 안팔아ㅋㅋ 흔들어봐 계속 / 그냥 묻어둬라,Mixed,"스페이스, 공매도, 오늘",False
KOSPI,272210,한화시스템,57000,8.42%,56800,8.24%,-3.06%,112,필리조선소 지분은 한화시스템[1] / 7만갑니다 / 오늘은 7만원 터치!!! / 뭐 오른게 있다고...기가찬다..기가차.....[1],Negative (58%),"오늘, 공매도, 진짜",False
KOSPI,452260,한화갤러리아,1422,1.18%,1591,1.39%,-3.27%,87,"천일고속 먹으면서[1] / 현재 BPS 4023원인데, 부동산 폭등으로 / 이제 슬슬 주워담고 / 이유없이 쳐눌러서 개미털고 폭풍매수!!![1]",Positive (80%),"오늘, 이제, 형들",False
KOSPI,042660,한화오션,118800,9.69%,109700,9.49%,-3.73%,800,"한화오션, W자형 패턴  주가 방향성[1] / 오션 지금자리는 그냥 조용히 담으시면 됩니다...[1] / 신한 공매도들 잡으면 주가 단숨에 20만원 돌...[1] / 시장탓하면 한심하다는거 알지만[2]",Negative (58%),"오늘, 어제, 한화오션",False
KOSDAQ,491000,리브스메드,51900,,55002,,-5.64%,800,걍쥐 산책하고 올테니까[1] / 살려주세요[1] / 큰일 났다....[1] / 70400원만이라도..ㅜㅜ,Positive (51%),"오늘, 공모가, ...",False
KOSDAQ,100790,미래에셋벤처투자,14580,1.24%,22200,0.84%,-6.24%,524,장전 호재 하나 나왔네요.[3] / 왠지 어제 하한가에 안팔길 잘한것 같은데? / 오늘 종가는 17500원입니다[1] / 숟가락,Negative (53%),"오늘, 어제, 설거지",False
KOSPI,217590,티엠씨,21150,2.79%,18200,2.51%,-10.57%,75,"시가 갭 15%[3] / 기관,외국인이 5일 연속 수만주씩 왜 사겠냐? / 빨간불[1] / 예상대로 시초에 다 던지고 튀네",Negative (66%),"어제, 여기는, 이상",False
KOSPI,006805,미래에셋증권우,13590,12.80%,11740,12.95%,-10.94%,411,오늘 상한가 갑니다.[3] / 우선주의 변동성 고려하면 / 매우 전형적인 급한 매집차트다[2] / 스페이스X + 스타링크 동시상장땐 ㄷㄷ[1],Positive (64%),"오늘, 상한가, ...",False
KOSPI,012200,계양전기,3700,2.30%,3445,2.28%,-17.32%,326,불쌍한 중생들 / 이거래량에 하한가갈거면 진즉갔지 ㅋㅋ[1] / 선수교체  대단하네요 / 계양전기 긴급시황,Positive (51%),"오늘, 하한가, ★★★",False
