시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,146060,율촌,1575,1.79%,1154,1.69%,+29.95%,89,정원오 대학동문 교수 학연 대장주 율촌 / 다른건모르겟고 시총200억은 진짜 매력적이다[1] / 폴란드에 공장 있는거[3] / 오늘 첫 상엔 100만주 걸려 있더니[1],Positive (100%),"이상, 상승했어요, 정원오",False
KOSDAQ,074430,아미노로직스,1180,1.87%,915,1.89%,+28.40%,80,고객사의 요청이있다면 가능하다? 장난해...ㅋ...[1] / 사기 찌라시에 당하는거 / 뇌피셜 기사네. ㅠㅠ / 15년을 보유하고 있는데 탈진일보전,Positive (70%),"이상, 상승했어요, ●●●",False
KOSDAQ,080220,제주반도체,26800,2.51%,21100,3.08%,+19.91%,393,1년 11개월만에 수익전환[2] / 오늘 상한가 확정임[3] / 머야? 왜 폭등하는거야..ㅜㅜ[2] / 천천히 상한가 가보자~~,Positive (64%),"오늘, 상한가, 이제",False
KOSPI,093240,형지엘리트,1755,2.72%,1152,2.64%,+17.23%,187,진득허니 상한가 차트 그리는중이네 / 교복으로 로봇만들줄 아는[2] / 작전이던 어쨌던 / 오늘상치면[1],Positive (57%),"상한가, 형지, 오늘",False
KOSDAQ,053700,삼보모터스,6020,0.00%,4020,0.00%,+15.33%,75,최저시급받던 초미녀(삼보) 10대소녀가 JYP(로...[2] / 2026 라스베가스 ces 참가 확정 / 이제 그만 문닫자 / 지긋[2],Positive (76%),"상한가, 이상, 상승했어요",False
KOSDAQ,486990,노타,47800,0.99%,41500,1.28%,+10.52%,449,"삼성이 인정했으면..가는거지 / 삼성전자가.. 올라가니 / 그냥 털었다..,VI를 싑게 못가서[1] / 11월 26일과 차이점[1]",Positive (52%),"오늘, 노타, 엑시노스",False
KOSDAQ,488900,비츠로넥스텍,18710,1.13%,15280,0.81%,+10.51%,101,개처물렸으면 따봉 눌러라[1] / 분봉상 쌍봉이긴한대 / 투자ᆢ / 미친[3],Positive (83%),"오늘은, 비츠로, 이상",False
KOSPI,000390,삼화페인트,7610,11.11%,7450,11.05%,+5.26%,183,"오늘 상 찍고 그 다음은 10,000원 돌파[1] / 윤씨일가 / 고려아연 영풍 상황보면 경영권싸움은 서로 피...[1] / 오늘 상 마감 후에는 물량 완전 잠수 전망.[1]",Negative (53%),"오늘, 윤씨, 경영권",False
KOSDAQ,232680,라온테크,14590,5.62%,10730,6.94%,+4.66%,78,최고점 14퍼에 다 정리하고 580 먹었네요[2] / 2026년 중국 대규모 매출이 기대된다.[1] / 정말 아름답네 / 오늘 고점 보고 들어오는 인간은[1],Positive (78%),"너무, 호가창, ...",False
KOSDAQ,030530,원익홀딩스,49100,6.18%,40100,4.85%,+2.83%,198,"50층 주민입니다[8] / 최고 180,000원[1] / 위아래,위아래 5프로씩 도지로 개미 털기 / 외인들 매수세 강하네",Negative (72%),"원익, 오늘, ㅋㅋ",False
KOSDAQ,003310,대주산업,3315,2.21%,2800,1.58%,+2.47%,103,리얼미터 오차범위밖 선두[1] / 직장동료가 매수하길래[1] / 대박~~~ 단일가고 나발이고 2만원까지 마구마...[1] / 정원오 제자 기업[1],Positive (80%),"정원오, 율촌, 이제",False
KOSPI,000660,SK하이닉스,652000,53.82%,599000,53.74%,+1.88%,620,축 5억 빚투 공무원[3] / 닉스개미들 지독해졌다..[2] / 하닉스 덕에 국민연금 고갈 80년 늦춰져 ㄷㄷ[1] / 오늘산개미는[2],Negative (61%),"하이닉스, 오늘, ...",False
KOSPI,005930,삼성전자,120700,52.34%,117000,52.42%,+1.00%,584,15만전자[1] / 주식투자 대박났습니다[1] / 주식투자 대박났습니다[1] / 국정운영은 이재명정부처럼 하는거다[8],Positive (52%),"삼전, 삼성전자, 개미들",False
KOSPI,008350,남선알미늄,1304,1.93%,1310,2.57%,-4.75%,115,정원오 테마 합류 / 이거정원오로 .[1] / 따상 / 6년간 하락 파동  끝내고  상승 전환,Mixed,"오늘은, 정원오, 오늘",False
KOSDAQ,049630,재영솔루텍,4415,7.38%,4160,7.83%,-5.46%,100,투자주의[1] / 2026년에 / 12월12일자[2] / 조정치고는..참아름답네!!,Negative (60%),"ㅋㅋㅋ, 오늘, 어제",False
KOSDAQ,490470,세미파이브,26000,0.40%,27650,,-5.97%,480,오늘부터   3연상으로 가나요[1] / 연말 연시에갬들 전부 뒤통네. / 죽고싶은 심정[2] / 오늘 상때려도 손실이 너무 크다[1],Negative (69%),"1332, ..., 공모가",False
KOSDAQ,319400,현대무벡스,19040,2.99%,19260,2.21%,-6.44%,242,무백 샀다가 아내에게 욕 처먹음..[8] / 데이를  하면서[2] / 상가면 대박이겠네 / 좋은 회사인건 맞는데,Negative (57%),"오늘, 현대무벡스, 종가",False
KOSDAQ,090710,휴림로봇,7440,11.07%,6200,3.76%,-6.77%,305,휴림로봇 📢 속보입니다[1] / 신용종목이아니라서 위탁증거금 100%따... / 뻔히 보이는데 이럴때 못사면[1] / 투경이 떳으니......,Positive (57%),"오늘, 어제, 휴림로봇",False
KOSPI,45226K,한화갤러리아우,8100,0.85%,7250,0.90%,-14.01%,72,"8시20분부터 매도물량  쌓이는거 잘봐라,[1] / 오늘 마지막 날  오후로 갈수록 / 오늘도 상갈걸?[1] / 여보 미안해",Negative (70%),"오늘, 작전치는, 이상",False
KOSPI,217590,티엠씨,15100,2.63%,19580,2.85%,-17.08%,194,"보호예수 오셨다 하한가즈아 / 지금 기회인가? / 회사는죄가없다 / 전저점 하방돌파, 위험신호네요",Negative (80%),"어제, 하한가, 팔고",False
KOSDAQ,012210,삼미금속,10650,0.44%,13229,,-19.50%,382,정확한 유통주식수 계산[1] / 상한가에도 팔지 맙시다~![3] / 지금 이시간까지 기관 100만주  나옴 / 세력형님들 이제 나올 물량 없습니다. 상한가 말아...[2],Positive (53%),"오늘, 물량, 이거",False
