시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSPI,000390,삼화페인트,7930,11.22%,6100,11.29%,+30.00%,206,연기금[1] / 오늘 마지막으로 한마디 / 한번 상치면,Positive (66%),"경영권, 상한가, 지분",False
KOSDAQ,223250,드림씨아이에스,7030,49.57%,5410,51.74%,+29.94%,138,ㄴㄴㄴ / 한번씩 보면 도움 될 듯 / 드림씨아이에스 대표 인터뷰 영상,Positive (75%),"오늘, 이상, 상승했어요",False
KOSDAQ,100790,미래에셋벤처투자,14240,1.14%,10960,1.98%,+29.93%,438,안사지네[2] / 쩜상은 아니고 / 낼부턴 매물도 없고,Positive (55%),"상한가, 오늘, 어제",False
KOSPI,067830,세이브존I&C,4060,8.62%,3125,9.06%,+29.92%,142,창사  24년 만에  첫 상한가 축하해요...[2] / 상잔량적고 시간외단일가 거래거의말랏는디[2] / 내일 갭은.무조건 뜰것같은 점상이냐 10...,Positive (61%),"내일, 이상, 상승했어요",False
KOSDAQ,027360,아주IB투자,3305,0.36%,2700,0.50%,+22.41%,321,하나 더 남았네[2] / 완전히  이거  게 저억같은 종목이네[1] / 4년을넘게 기다렸다!,Positive (61%),"오늘, 미래, 이상",False
KOSDAQ,478340,나라스페이스테크놀로지,31200,0.06%,27150,0.09%,+14.92%,555,주차 완벽하네...[1] / 내일은 개퍼락...[2] / NASA 아르테미스 달탐사 프로젝트[2],Positive (50%),"어제, 오늘, 상한가",False
KOSPI,128820,대성산업,11810,1.64%,10430,1.51%,+13.23%,800,막탐은 빤하잖아~[1] / 연기금이 / 시장이안좋아 자산주만간다,Positive (56%),"하한가, 오늘, ...",True
KOSDAQ,319400,현대무벡스,13600,1.56%,12380,0.96%,+9.85%,715,"13,860[1] / 아까보여드린건데..보면놀라실거에요[1] / 오늘밤 테슬라 다시 전고점탈환후 로봇주[1]",Negative (55%),"오늘, 내일, 진짜",False
KOSPI,006800,미래에셋증권,22100,10.88%,20450,10.65%,+8.07%,176,그렇게 내일 급등을 자신하면 시간외 빠져있는... / 본장 매매금액 2497억.외인기관+5백억 넘... / 터미날도 초반 긴가민가..고작 몇프로에 털렸...,Positive (55%),"오늘, 어제, 미래에셋",False
KOSPI,001520,동양,878,1.51%,816,1.68%,+7.60%,251,내관점 / 딱봐도 우선주 / 궁금한게 우선주들이 오른게,Positive (53%),"동양, 오늘, 우선주",False
KOSPI,452260,한화갤러리아,1543,1.25%,1443,1.51%,+6.93%,571,우[2] / 개잡주 조심하세요[1] / 상한가 장대양봉,Positive (55%),"오늘, 상한가, 이거",False
KOSDAQ,950220,네오이뮨텍,706,1.93%,667,2.44%,+5.85%,163,12/18 장 요약: 희귀질환 판권 확보 /...[2] / 솔직히 지금 가격에서[1] / N자의 실패[2],Positive (51%),"상한가, 오늘, 이상",False
KOSDAQ,038460,바이오스마트,3850,1.93%,3690,1.86%,+4.34%,136,시간외보니[1] / 내일은[1] / 정원오 북콘서트 시공사(바이오스마트),Positive (62%),"정원오, 내일, 시공사에서",False
KOSDAQ,064260,다날,6930,6.98%,6740,7.06%,+2.82%,310,아마도 / 이런  이미10월에   나왔던걸[2] / 주가가 떨어져서,Positive (60%),"다날, 써클, 스테이블코인",False
KOSDAQ,466100,클로봇,63700,4.89%,62600,6.95%,+1.76%,549,내일은 7자 월요일은 8자 보러 간다 / 외인들이 / 1년기다리면오를까,Mixed,"오늘, 클로봇, ...",False
KOSDAQ,082850,우리바이오,2280,2.14%,2245,2.46%,+1.56%,139,우선 내일 상한가 가면 70% 정리[1] / 3일 매집했으니 / 대마 1등주!!,Positive (66%),"트럼프, 오늘, 마리화나",False
KOSPI,000660,SK하이닉스,552000,53.38%,551000,53.34%,+0.18%,800,저보다 심하신분? / 메모리 폭락한다[2] / 안티 Jasal 이야기[1],Negative (54%),"마이크론, 오늘, ...",False
KOSPI,005930,삼성전자,107600,52.10%,107900,52.12%,-0.28%,800,안오른이유 / 오늘 자장가는... / 와아,Negative (56%),"..., 삼전, 오늘",False
KOSDAQ,293580,나우IB,1436,0.55%,1450,1.00%,-0.97%,123,1223[2] / 희망회로 이빠이 돌리네[2] / 딴애들은 시외 올랐네,Positive (64%),"정원오, 진짜, 오늘",False
KOSPI,034020,두산에너빌리티,74500,22.35%,75500,22.41%,-1.32%,393,공매 / 원전주로만 생각하는 빡돌이들때매 / 두빌주주들 전부 최소 300~400퍼...,Negative (54%),"투경, 오늘, 내일",False
KOSPI,217590,티엠씨,18190,2.34%,18640,2.32%,-2.41%,143,이 종목은 장투로 딱 좋겠다 / 이회사  갈려면  어디를  봐야하냐 / 연기금이 주가 올리는 세력이 될수 있냐? 퉷,Negative (54%),"ㅋㅋ, 종가, 이상",False
KOSPI,010140,삼성중공업,23800,30.51%,24450,30.48%,-2.66%,133,"빚투로 국민들 파산시킨 째씨를 감옥으로~[2] / 23,700~23,600정도[1] / 연말에 보너스 축제한데",Negative (76%),"..., 이제, 조선주",False
KOSPI,018880,한온시스템,3045,5.11%,3145,5.13%,-3.18%,115,"내일 닛케이 ""기준금리, '30년만에 ... / 차라리 오늘 -5%는 되었어야 내일 공... / 혹시 죄송한데 개잡주 냄새가 ~~",Negative (66%),"유증, 내일, 유증가",False
KOSDAQ,038500,삼표시멘트,4815,1.56%,5000,1.56%,-3.70%,342,"주린인데요, 삼표는 중장기로도 괜찮지...[2] / 신용0실하나 / 삼표시멘트가 확정적 개발에도 상승못하...",Negative (60%),"오늘, 어제, 대성",False
KOSPI,006340,대원전선,3750,3.66%,3960,3.49%,-5.30%,120,던져요?[1] / 만공아 대답[1] / 만공아 대답안하냐[1],Negative (73%),"만공아, 만공교, 제주",False
KOSPI,015760,한국전력,48200,22.86%,51200,23.10%,-5.86%,252,오늘발표나 발언때문은 아닌거같고 / 내일이 걱정이다. / 근데 개미는 오늘 왜 삼? ㅋ,Negative (69%),"전기요금, 오늘, 한국전력",False
KOSDAQ,464490,쿼드메디슨,21700,1.06%,24550,0.50%,-11.61%,439,시외 개꿀 개꿀~@;;[1] / 쥐포 잘못만나가지고 빛도보지못하고 / 코인도 아니고,Positive (57%),"오늘, 알지, 어제",False
KOSDAQ,260660,알리코제약,4330,3.20%,5050,4.06%,-14.26%,101,누가 겁나게[2] / 오늘 못 턴 사람??주식 / 아놔,Negative (64%),"전환사채, 탈모, 어제",False
