시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,0098T0,교보19호스팩,4130,,2000,,+106.50%,156,이러고[1] / 유통금액 80억품절주 / 이런거 법으로 금지되어야,Mixed,"역시, 이상, 상승했어요",False
KOSDAQ,464490,쿼드메디슨,20350,,14999,,+35.67%,400,하한가면 9000  스피어 사요 / 주포님 식사 마치셨습니다~~ / 똥은,Negative (62%),"오늘, 이지스, 계단식",False
KOSDAQ,038500,삼표시멘트,5380,1.63%,3190,2.03%,+29.79%,400,부럽다 한넘은 상따하고 손절 하고 / 밥먹고 왔더니 / 상한가 축하드립니다.,Positive (55%),"정원오, 삼표, 오늘",False
KOSDAQ,466100,클로봇,64200,4.99%,51900,8.01%,+24.90%,400,"공매도 애들 다음주부터 쇼커버 들어올거야 / 이런 곳이 있었다니…궁금하네요..[1] / 기세 꺽였어. 55,000원까지 쓰윽~[1]",Positive (71%),"클로봇, 오늘, 상한가",False
KOSDAQ,347700,스피어,11760,2.12%,8100,1.48%,+24.05%,85,횡보가기네~[1] / 결국 폭락으로 가는군아...ㅋㅋㅋ / 와이제이링크,Positive (71%),"본계약, 이상, 상승했어요",False
KOSDAQ,322510,제이엘케이,5740,2.82%,4330,4.29%,+21.61%,29,내일상 / 상한기 5번은 가야 / 팩트 조져드림?,Positive (100%),"이상, 상승했어요, 진짜",False
KOSDAQ,041920,메디아나,9410,1.42%,7880,1.52%,+20.64%,17,메디아나 이틀 연속 불기둥 ㄷㄷ 지금 타도 됨?... / 메디아나 상승요인[2] / 와우 투자하신분들 축하드려요~,Positive (85%),"이상, 상승했어요, 메디아나",False
KOSDAQ,101000,KS인더스트리,858,1.33%,717,1.30%,+19.50%,21,이번 이엘엠시스템 공시 관련 / ■경영권매각 하라! / 벌써 팔면 배아플텐데..[2],Positive (100%),"이상, 상승했어요, 경영권",False
KOSDAQ,290690,소룩스,5560,1.36%,4620,1.26%,+19.06%,229,합병정정 하고나면 금감원에서[1] / 전환사채[1] / ■원래 fda3상은 10배 간다 ==10배까지 ...,Positive (59%),"상한가, 합병, 10배",False
KOSDAQ,0009K0,에임드바이오,54900,0.99%,46600,0.85%,+17.56%,276,신규상장주 / 결국 / 뭐야,Positive (66%),"오늘, 이상, 상한가",False
KOSDAQ,083650,비에이치아이,61900,14.16%,51800,15.38%,+17.46%,94,이제 실시간1위 오르면25%까지는 고속도로다 / 니들이 HRSG 를 알아? / 상가즈아!,Positive (75%),"이상, 상승했어요, 이제",False
KOSPI,0126Z0,삼성에피스홀딩스,668000,5.32%,565000,5.39%,+17.40%,400,아 39만원에서 / 더블수익중 / 오늘 개미 단타들은 모두가 매도를 하...,Positive (56%),"오늘, 진짜, 이제",False
