시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSPI,217590,티엠씨,16770,,9300,,+80.32%,400,티엠씨 발표됐으니 참고하세요.[1] / 지금은 판단보다 확인입니다 / 종가가 저가일 때,Negative (52%),"티엠씨, ㅋㅋ, 오늘",False
KOSDAQ,038460,바이오스마트,3970,3.20%,3040,3.44%,+29.95%,151,"새로운인물은 언제나 텐베거..[1] / 대주에서 갈아탐 / 바이오스마트, 시초가만 잡아서도 대박인데...",Positive (85%),"정원오, 성동구, 12월",False
KOSDAQ,003310,대주산업,2200,6.54%,1543,6.32%,+29.95%,137,낼 쩜상이겠네요 / 실체도없는 사기 20개종목 으로 늘어 / 핵심만 짚어보세요,Positive (90%),"정원오, 젝시믹스, 풀린다",False
KOSDAQ,081180,쎄크,14350,1.79%,11180,2.25%,+29.86%,105,누가 자꾸 / 스멀스멀 기어나오는 내일 점상버그들 / 시대를 만난 희소기업입니다,Positive (100%),"오늘, 이상, 상승했어요",False
KOSDAQ,0009K0,에임드바이오,70500,1.45%,46700,0.99%,+26.12%,400,에임드바이오 발표됐으니 참고하세요.[1] / 흔들어 퐁락이냐 / 내일,Positive (56%),"상한가, ㅋㅋ, 시총",False
KOSDAQ,030530,원익홀딩스,37500,2.79%,30000,2.44%,+22.75%,307,개미들 잘했네 외인이 오늘 쓸어갔네ㅎ 내일또신... / 외국인 매수세가 / 많이들 물어보시길래,Positive (82%),"오늘, 원익, 원익홀딩스",False
KOSDAQ,293580,나우IB,1516,2.95%,1240,2.96%,+22.36%,103,서울시장 종목 / 일하고 왔는데 이노마 뭐야[1] / 정원오테마 14선 상승률 순위 공개,Positive (61%),"정원오, 관련주, 이상",False
KOSPI,092200,디아이씨,13940,3.32%,11310,2.64%,+15.68%,104,종가 13940 뭔데 ㄷㄷㄷ / 20시에 뭐하나 나오나? / 맨날 단타만했는데 오늘은 홀딩했다,Positive (80%),"..., 역시, 투경",False
KOSDAQ,027360,아주IB투자,2710,1.20%,2250,1.19%,+11.75%,134,조정오먼 / 단일가[1] / 개미지옥 ㅋㅋㅋㅋㅋㅋㅋ,Positive (52%),"이상, 상한가, 4년전",False
KOSDAQ,049630,재영솔루텍,3045,4.44%,3265,8.21%,+11.54%,107,유튜브믿지마라[1] / 아침에 쫄아서 털었는 데 이게모야???[4] / 와 2100원에 900주만 사놓은거 개열받네[3],Positive (66%),"다시, 이상, 오늘",False
KOSDAQ,125490,한라캐스트,19760,4.46%,17210,3.77%,+10.02%,173,스윙들 힘들내고 / 연기금 풀매수 기관 싹쓸이 / 1조까진 아주 무난히가겟구만,Negative (62%),"개미들, 이제, 그렇지",False
KOSPI,001430,세아베스틸지주,48950,7.35%,34450,7.45%,+9.39%,119,"쎼크가 대장인가 된장 / 주포형님 / 세아베스틸지주, 흔들린척하다가 결국에는 터졌...",Positive (60%),"51400에, 이상, 상승했어요",False
KOSPI,000050,경방,11990,1.09%,8470,1.20%,+8.90%,172,"예고  안걸리게 / 경방 / 3시 이후 거래 흐름, 아직 살아있습니다",Negative (53%),"경방, 하한가, 상한가",False
KOSDAQ,090710,휴림로봇,6280,4.84%,5580,2.36%,+7.35%,158,"3시 이후 거래 흐름, 아직 살아있습니다 / 발 빠르게 움직이는 사람들만,, / 준비 됐나요?",Positive (66%),"오늘, 오늘은, 상한가",False
