시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSPI,000390,삼화페인트,7930,11.29%,5990,11.33%,+30.00%,202,"요번 파동은 14,000원~15,000원 정...[1] / 츄고쿠 페인트 9.19%가[3] / 연기금",Positive (66%),"경영권, 상한가, 지분",False
KOSDAQ,223250,드림씨아이에스,7030,51.74%,5820,51.44%,+29.94%,133,실제거래는 29%인 690만주만 / 8배터진 로킷.프로티.토모는 모두적자... / 오늘 오전에 달라붙은 개미,Positive (75%),"오늘, 이상, 상승했어요",False
KOSDAQ,100790,미래에셋벤처투자,14240,1.98%,10390,2.59%,+29.93%,431,"앞으로 한동안 상이라고 본다[1] / ㅡ 2026년 영업이익이  1,000억  예상 ... / 내일도 기대 되는데요 ..ㅎㅎ",Positive (55%),"오늘, 상한가, 어제",False
KOSPI,067830,세이브존I&C,4060,9.06%,3185,9.24%,+29.92%,142,상잔량 못 쌓는 이유 ㅋㅋ[1] / 창사  24년 만에  첫 상한가 축하해요...[2] / 상잔량적고 시간외단일가 거래거의말랏는디[2],Positive (61%),"이상, 상승했어요, 내일",False
KOSDAQ,027360,아주IB투자,3305,0.50%,2700,0.48%,+22.41%,317,요즘은 지분테마가 유행 / 단일가에   무지파네 / 완전히  이거  게 저억같은 종목이네,Positive (61%),"오늘, 미래, 이상",False
KOSDAQ,478340,나라스페이스테크놀로지,31200,0.09%,27149,,+14.92%,555,내일도 기대 되는데요 ..ㅎㅎ / 걍 1만원대까지 빼주믄 안됨?[1] / 주차 완벽하네...,Positive (50%),"어제, 오늘, 상한가",False
KOSPI,128820,대성산업,11810,1.51%,8030,1.55%,+13.23%,800,대성 신곡 12일 한도초과 발표후 주가 / 여기 주포늠 계좌 까본다 거래소도 까던거 / 오늘,Positive (56%),"하한가, 오늘, ...",True
KOSDAQ,319400,현대무벡스,13600,0.96%,11900,1.02%,+9.85%,708,큰손 개미 꼬시기[2] / 아. . 시외 뺄걸 / 오늘 프로그램   작살낸거,Negative (54%),"오늘, 내일, 진짜",False
KOSPI,006800,미래에셋증권,22100,10.65%,21400,10.90%,+8.07%,167,내일도 간다 / 빤한 수법인데..이러면 내일  또 / 1/100시외 거래금..작아서  무의미,Mixed,"오늘, 어제, 미래에셋",False
KOSPI,001520,동양,878,1.68%,820,1.65%,+7.60%,248,우선주 끝까지 상한가 안풀고 있는거 보면 몰러 ㅋ / 금호건설우 서울시립대 정원오 동문 동양우 고려대법대 ...[1] / 니들 들어왔다 써져있는데[1],Positive (53%),"동양, 오늘, 금호건설우",False
