시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSPI,000390,삼화페인트,7930,11.29%,5990,11.33%,+30.00%,142,분쟁테마 / 주가가 오르면 오를수록 상속세가 존나 커지는데 / 계속나오고있다던데..[1],Positive (70%),"경영권, 상한가, 이상",False
KOSDAQ,100790,미래에셋벤처투자,14240,1.98%,10390,2.59%,+29.93%,325,미래에셋벤처투자가 2대 주주로 있는 '세미파이... / 미래에셋벤처투자 투자 개 잘하네 ㅋㅋ / 상 몇 번 칠까 기대된다,Positive (56%),"오늘, 상한가, 어제",False
KOSDAQ,478340,나라스페이스테크놀로지,33900,0.09%,27150,,+24.86%,240,자자 500원 남았다. 난 절대로 안판다. ... / 다시 12%때로와라... / ☆국장 진리의법칙☆,Negative (51%),"어제, ..., 오늘",False
KOSDAQ,027360,아주IB투자,3365,0.50%,2700,0.48%,+24.63%,125,어떤게 진실이냐 2프로는 모냐 / 스페이스x 내년상장 2200조 / 스페이스x 지분은 아주투자 .미래벤처 둘뿐이다,Positive (76%),"지분, 이상, 상승했어요",False
KOSDAQ,223250,드림씨아이에스,6660,51.74%,5820,51.44%,+23.11%,49,유동 주식수 673백만주 ㅎㅎㅎ 오늘...[1] / 뭐야 우찌되는겨 / 찐이네,Positive (80%),"이상, 상승했어요, 진짜",False
KOSPI,128820,대성산업,12500,1.51%,8030,1.55%,+19.85%,747,내려온다 앗싸 비야 하한가 두방 굿 / 악성세력정리구간? / 할렐루야~주님은 여러분을 사랑하십니다~😂😂...,Positive (55%),"어제, 상한가, 오늘",True
KOSPI,452260,한화갤러리아,1702,1.51%,1110,1.39%,+17.95%,303,대주산업 / 결국은 연상으로 / ,Positive (63%),"상한가, 오늘, ㅋㅋㅋ",False
KOSPI,001520,동양,960,1.68%,820,1.65%,+17.65%,62,2026년 기대주 / 정원오다 / 패대기 ㄱㄱㄱ  도망처 ㄱㄱ 패대기,Positive (70%),"동양, 동양우, 이상",False
KOSDAQ,950220,네오이뮨텍,724,2.44%,665,2.67%,+8.55%,107,흔들기 끝..슬슬 상한가 찾아가자~~~바람이... / 715원 매수 730원매도 / 내일 오전 급락에 다시 사줄게 ㅋㅋ,Positive (63%),"상한가, 오늘, 이상",False
KOSPI,006800,미래에셋증권,22100,10.65%,21400,10.90%,+8.07%,83,올라도 티가 안나냐? / 적게 투자한 놈들은 20퍼 이상 오르고 / 다들 미리 아는건가요..[1],Positive (61%),"스페이스X, 오늘, 상한가",False
KOSDAQ,082850,우리바이오,2400,2.46%,2115,2.60%,+6.90%,121,우와 이거 뭥미? / 도배하는놈 있으면 / 가만히 있질 못하네,Positive (64%),"트럼프, 오늘, 마리화나",False
KOSDAQ,064260,다날,7200,7.06%,6550,7.22%,+6.82%,207,아 정 말~[1] / 프매 잘 받아먹네 / 7200원 ㅋㅋㅋㅋㅋ,Positive (63%),"다날, 스테이블코인, 써클",False
KOSPI,217590,티엠씨,19780,2.32%,21800,2.27%,+6.12%,68,슬슬 익절해볼까[1] / 곧날라갈거깉은예감 / 오늘 하이닉스 포기하고 너 택햇는데,Positive (77%),"ㅋㅋ, 오늘, 티엠씨랑",False
KOSDAQ,293580,나우IB,1520,1.00%,1371,2.01%,+4.83%,72,털고 토꼈네[1] / 쏟아붓겠다   이제 뭐다 / 얘는  틈을 주면 안돼,Positive (64%),"정원오, 창투사, 매도",False
KOSDAQ,319400,현대무벡스,12930,0.96%,11900,1.02%,+4.44%,331,"흔들리지 마시고,,, 꽉 잡으세요.[2] / 지금 이 시각도 매수 들어옵니다 / 이 종목은 멀미약 먹고 봐야 함",Negative (65%),"오늘, 오늘은, 계속",False
KOSDAQ,038460,바이오스마트,3810,1.86%,3720,3.27%,+3.25%,69,아래서 물려 드릴께 / 정원오의 실력파 선언 / 아저씨,Positive (60%),"정원오가, 시공사에서, 정원오",False
KOSDAQ,344860,이노진,2325,7.73%,1736,7.84%,+3.10%,40,ㄷ ㅏ 터 셨나요 ㅡㅡㅡ[2] / 주포야 지타공인 세계 최강 특전사 출신이다 / 어종상 이라고 들어봤나,Positive (83%),"이상, 상승했어요, 세력",False
