시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,146060,율촌,1575,1.79%,1154,1.69%,+29.95%,104,다른건모르겟고 시총200억은 진짜 매력적이다[1] / 정원오 대학동문 교수 학연 대장주 율촌 / 재료(정원오 동문+우크라 재건주+포스코...[5] / 하루짜리 상승일뿐[2],Positive (90%),"정원오, 이상, 상승했어요",False
KOSDAQ,053700,삼보모터스,6420,0.00%,4020,0.00%,+22.99%,144,이런 회사가 천일고속처럼 가야함...[1] / 2026 라스베가스 ces 참가 확정 / 세력이미리 계산을 하고[1] / 최저시급받던 초미녀(삼보) 10대소녀가 JYP(...[2],Positive (76%),"상한가, 시총, 이상",False
KOSDAQ,080220,제주반도체,26350,2.51%,21100,3.08%,+17.90%,528,올라가는 애를 왜 팔아요?ㅋㅋ[3] / 1년 11개월만에 수익전환[4] / 오늘 외인 100만주 순매수 미쳤다 ㅋㅋㅋㅋ[1] / 개미들만 다털렸네 내년엔 3만원부터 시작[3],Positive (60%),"오늘, 상한가, 프매",False
KOSDAQ,488900,비츠로넥스텍,19250,1.13%,15280,0.81%,+13.70%,147,나스닥 시간외 급등[1] / ◆우주항공 대장주 / 투주  뜨것다 / ●주포들 우주항공 대장주로 집결,Positive (86%),"시간외, 오늘, 오늘은",False
KOSPI,093240,형지엘리트,1698,2.72%,1152,2.64%,+13.43%,423,삼성·SK·현대차·LG 총수 동행…방중 경제사...[1] / 시외상 가는 이유 / 물량을 다 흡수해 가네? / 담달 5천 돌파한다[1],Positive (58%),"ㅋㅋㅋ, 오늘, 상한가",False
KOSPI,000390,삼화페인트,7760,11.11%,7450,11.05%,+7.33%,219,아무튼 / 김씨 VS 윤씨일가 경영권분쟁 활시울은 당겨졌다[3] / 흠..이라믄 담주 상한가🔝급등랠리 각인데.... / 12/30 장 요약: 경영권 승계 불안/상속...[1],Positive (55%),"경영권, 오늘, 윤씨",False
KOSDAQ,486990,노타,46300,0.99%,41500,1.28%,+7.05%,579,아 내가 너무 초긍정적으로 보나... 546... / 49500에 안팔고 뭐헀지 나?[5] / 삼성이 인정했으면..가는거지 / 삼성전자가.. 올라가니,Positive (53%),"오늘, 노타, 삼성전자",False
KOSDAQ,003310,대주산업,3400,2.21%,2800,1.58%,+5.10%,145,지금 생방송 Mbc  정원호[2] / 3920원이상 투경확정 그아래는 괜춘[1] / 아유 친절들 하셔라 / 놀랬네...3520 안넘으면 상관 없네.,Positive (86%),"정원오, 토꼈네, 먹고",False
KOSDAQ,030530,원익홀딩스,48700,6.18%,40100,4.85%,+1.99%,348,대주주 매도. 세력은 몰랐을까?[6] / 원익홀딩스 2025년을 기분좋게 마감 했습... / 고맙습니다. 원익홀딩스[2] / 원익 대주주 매도는[1],Negative (74%),"대주주, 원익, 매도",False
KOSPI,000660,SK하이닉스,651000,53.82%,599000,53.74%,+1.72%,785,하이닉스[1] / 65만 미쳤네[5] / ADR공시 한방에[1] / ADR공시 예상,Negative (61%),"하이닉스, 오늘, ...",False
KOSDAQ,242040,나무기술,1324,2.82%,1343,2.87%,+0.53%,129,"수주 회사도, 수주 금액도 하나 안 중요한 게[2] / 한헤 마지막 폐장일 쌍코피 터지신분?[1] / 일단 금감원에 조가조작 기사 신고 ㄱㄱ[1] / 사명 바뀜[1]",Negative (57%),"진짜, 글로벌, ㅋㅋㅋ",False
KOSPI,005930,삼성전자,119900,52.34%,117000,52.42%,+0.33%,800,15만전자[1] / 국정운영은 이재명정부처럼 하는거다[8] / 주식투자 대박났습니다[1] / 12만전자 이재명대통령님 감쏴~~♡,Positive (53%),"삼전, ..., 개미들",False
KOSPI,034020,두산에너빌리티,75300,22.49%,73600,22.37%,-1.57%,238,"물량 뺏기지 마세요 / 사우디,아랍,유럽,아시아 / [속보]원안위, 새울 원전 3호기 신규 가동 ... / 꽉 잡아라 던지지말고 어제 세력들어 왔다",Negative (52%),"오늘, 원전, 어제",False
