시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,090710,휴림로봇,7910,3.76%,6540,6.49%,+27.58%,647,"상남자다[11] / 휴림로봇때문에 11월, 12월 개고생한 / 힘이 약하네. 상으로 빨리 닫아라[1] / 휴림[1]",Positive (59%),"오늘, 상한가, 휴림로봇",False
KOSDAQ,490470,세미파이브,28700,,24000,,+19.58%,800,신규주는 오전에 안가면 그냥 과감하게 버려야합니...[1] / 내가 샀는데 오를수가 있나 / 종토방 분위기를 보아하니.. / 눈물의 손절하고 간다,Positive (58%),"오늘, ..., 1.펩리스",False
KOSDAQ,030530,원익홀딩스,46900,4.85%,36100,3.46%,+16.96%,324,즐겨라....아직도 멀었다...[1] / 반도체 날라간다~ / CES 마지막 랠리!! 원익 폭등 5마원까지!...[1] / 일봉이 아름답다..,Negative (54%),"오늘, 원익홀딩스, 원익",False
KOSDAQ,125490,한라캐스트,20800,0.87%,18730,1.56%,+13.54%,252,1월 5일 CES까지는 들고가는 거다 / 삼봉 돌파[3] / 와~기다린 보람이 있네..[3] / 형아가 뭐랬지?^^ 수고해~~,Mixed,"오늘, 2만원, 상한가",False
KOSDAQ,049630,재영솔루텍,4650,7.83%,3410,5.51%,+11.78%,140,"계양전기가 단숨에   텐배거 갈려고...[2] / 명품주식 물량없다!!!!!! / 고작 텐버거? 아니 재영이는 원헌드레드 버거다[5] / 다음주 8,800원 ☆☆☆[2]",Positive (88%),"ㅋㅋㅋ, 오늘, 항상",False
KOSDAQ,488900,비츠로넥스텍,16550,0.81%,15520,1.03%,+8.31%,129,궁극의 에너지 [핵융합][1] / 털어가는것도[1] / 오늘 보호예수 물량[1] / 재료좋네[2],Positive (83%),"비츠로, 오늘, 오늘은",False
KOSPI,001440,대한전선,23650,8.78%,22550,8.88%,+7.99%,105,2026년 전력 전선 슈퍼사이클임. / 올해 3만원대 상승유지는 실패했지만 / 이런주식은 보물입니다[1] / 복창하세요~ 내가 왜 이좋은걸 못견디고 손...[2],Positive (68%),"오늘, 내일, 이상",False
KOSDAQ,317830,에스피시스템스,14350,1.67%,13830,1.78%,+6.22%,101,기사 내고 개미에게 전환사채 팔아 넘기는 중[2] / 상이다 / 로봇은 이제 두뇌섹터 / 기사 내고 개미에게 전환사채 넘기는 수법[1],Positive (83%),"전환사채, 넘기는, 개미에게",False
KOSPI,000660,SK하이닉스,633000,53.74%,588000,53.54%,+5.68%,604,"드디어 100만원 호가시대가 보이는군요[1] / 내일부터 어떻게 될까요?[1] / 삼성보다 하이닉스인 이유[1] / 하닉스, 삼전덕에 국민연금 고갈 50년 늦춰 ...[1]",Positive (50%),"오늘, 하이닉스, 공매도",False
KOSPI,008350,남선알미늄,1369,2.57%,1008,2.82%,+4.50%,405,남선알루미늄  로봇 프레임 제작  대박!!!...[2] / 휴머노이드 시대 속 '알루미늄'의 전략적 가...[1] / 거래량 1위다 / 긴말안한다 로봇본체 알미뉴합금임,Positive (68%),"상한가, ㅋㅋ, 거래량",False
KOSDAQ,319400,현대무벡스,20100,2.21%,18580,2.07%,+4.36%,208,현대무벡스 의 역사적  고점 들을 갱신 ... / 오늘도[1] / 3만 목표...5만 까지 / 2만원안착[1],Positive (52%),"오늘, ..., 상한가",False
KOSPI,452260,한화갤러리아,1392,1.38%,1410,1.59%,+1.90%,120,아직 시작도 안했거든 ㅎㅎ / 5프로 손절.. / 이거 갈 생각이 없다 / 오늘도 음봉예약이네,Positive (77%),"오늘, 우선주, 갤러리아",False
KOSPI,005930,삼성전자,118800,52.42%,111100,52.22%,+1.54%,800,윤석열 2500에서 이재명 당선후 42...[3] / 주식은 없지만 삼전 가진분들 축하합니다...[1] / 이제 물린사람이 없는 삼성이네 / 난 재맹이가 종신대통령 해쓰마 조케따[2],Negative (55%),"오늘, 삼성전자, ...",False
KOSDAQ,476060,온코닉테라퓨틱스,21900,3.55%,18940,1.53%,+0.46%,152,JP모건 컨퍼런스에 초대의미[3] / 사측이... 투트랙전략으로  이미 공표하고 전...[1] / 공매도 신경쓰지말고 / 프로그램 매도전환 중이다[4],Negative (53%),"역시, 오늘, 영차",False
KOSPI,015760,한국전력,47150,22.96%,48150,22.94%,-2.78%,128,오늘 매도해도[2] / 양전 개꿀 배당금까지!!![1] / 배당락이라고 하기에는 너무 많이 빠지는...[1] / 뭐가 문제인데 배당락 처음 봐,Negative (70%),"배당, 오늘, 한전은",False
KOSDAQ,049180,셀루메드,1610,2.16%,1459,2.81%,-15.08%,111,내일 정상적으로 진행된다면 오늘이 마지막...[1] / 공시전에 사전정보로 물량 사놓고 개미한테 ...[2] / 고수의 매물대[1] / 엘앤씨바이오가 왜 경영권을 받았을까?,Positive (60%),"오늘, 인스코비, ㅋㅋ",False
