시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,0098T0,교보19호스팩,4450,,2000,,+122.50%,104,300프로 가면 털린사람들 어떨까[2] / 160%  가기전까지는[1] / 주식은 이 느낌을 잊으면 안됨,Positive (58%),"이상, 상승했어요, 먹고",False
KOSDAQ,464490,쿼드메디슨,21950,,15000,,+46.33%,400,"비만,치매 재료많다 / 드라이 / 눌림목개미 존나꼬셨노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ...",Negative (68%),"오늘, 비만치료제, 5만원",False
KOSDAQ,347700,스피어,12090,2.12%,8100,1.48%,+27.53%,70,미 글로벌 우주항공 발사업체? 근데[1] / 다음주에 나올 1900원짜리 700만주 팔아먹을 생... / 다음주에 나올 1900원짜리 700만주 팔아먹을 생...,Positive (90%),"본계약, 이상, 상승했어요",False
KOSDAQ,466690,키움히어로제1호스팩,2500,,2000,,+25.00%,203,오를까요[1] / 진절머리나는놈들 / 히어로? 이름좋아샀드니 히바리냐?,Positive (60%),"교보, 키움, 어제",False
KOSDAQ,0009K0,에임드바이오,58000,0.99%,46600,0.85%,+24.20%,214,"공매땜시 / 오예~~~ / 11 시이후 에 확인, 끝났습니다 .",Positive (68%),"오늘, 이상, 기술이전",False
KOSPI,001430,세아베스틸지주,41750,7.45%,34950,7.38%,+21.19%,14,아이고 배아파ㅜㅜ / 연상희망회로 / 보통 시설투자는 호재로본다,Positive (75%),"이상, 상승했어요, 무관세",False
KOSDAQ,101000,KS인더스트리,870,1.33%,717,1.30%,+21.17%,15,외인+프로그램 / 꼬실려고 ㅋㅋㅋㅋㅋ / 25% 이상 상승했어요 🎉,Positive (100%),"이상, 상승했어요, 경영권",False
KOSDAQ,041920,메디아나,9310,1.42%,7880,1.52%,+19.36%,15,2만원 간다!![5] / 메디아나 이틀 연속 불기둥 ㄷㄷ 지금 타도... / 오늘도 한입,Positive (83%),"이상, 상승했어요, 메디아나",False
KOSDAQ,290690,소룩스,5550,1.36%,4620,1.26%,+18.84%,178,"갈수밖에 없는 이유,,,,,,[2] / 얘는 오늘 시세 잘 마무리하믄 / 다 팔았다 20% 개꿀",Positive (76%),"합병, 상한가, 오늘",False
KOSDAQ,471820,셀로맥스사이언스,6340,0.93%,5500,0.75%,+17.84%,38,유보율이  완전  깡패수준ᆢ3800프로 / 에스엔바이오사이언스가 기업가치가 6조원이상 으... / Win. Win. 지금은. 매수할때,Positive (100%),"Win., 이상, 상승했어요",False
KOSPI,0126Z0,삼성에피스홀딩스,666000,5.32%,565000,5.39%,+17.05%,400,석벅사 연구원 664명 / 저도요......[2] / 개미가 많이 못버는 이유,Negative (51%),"오늘, 이제, 진짜",False
KOSDAQ,083650,비에이치아이,61600,14.16%,51800,15.38%,+16.89%,65,아이 상냄새 / 아침에 / [비에이치아이]수급 안 빠졌습니다 이대로 안...,Positive (81%),"이상, 상승했어요, 쿄쿄쿄",False
KOSDAQ,048770,TPC,2675,2.62%,2280,2.53%,+16.05%,12,2830에 매수 😢[3] / 2900원에 물린  분 계삼?[3] / AI 휴먼로이드로봇 제작 땅부자 시총 400억...,Positive (83%),"이상, 상승했어요, AI",False
KOSDAQ,295310,에이치브이엠,32200,2.04%,26600,2.80%,+15.83%,19,34100[2] / 이제 우상향 / 그냥[1],Positive (83%),"이상, 상승했어요, 대장",False
KOSDAQ,060370,LS마린솔루션,33900,2.61%,30000,3.31%,+15.31%,27,. / 신용미수전재산몰빵 상가자 집산다 / 아침뉴스에,Positive (100%),"이상, 상승했어요, 신용미수전재산몰빵",False
