시장구분,code,종목명,현재가,현재_외국인비중,어제_종가,어제_외국인비중,등락률,당일_게시글수,게시물_요약,감정분석,Top_Keyword,연속_등록
KOSDAQ,0098T0,교보19호스팩,3715,,2000,,+85.75%,133,대성산업으로 와라[1] / ㅋㅋㅋ / 올리면서 내려야,Positive (53%),"이상, 상승했어요, 역시",False
KOSDAQ,464490,쿼드메디슨,20850,,14999,,+39.00%,400,이지스 따라가는 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ / 시간상 차익매물을 받아 줘야하는데 못받아... / 기업은 참 나쁘지 않는데 오늘 하필,Negative (64%),"오늘, 이지스, ...",False
KOSDAQ,038500,삼표시멘트,5380,1.63%,3190,2.03%,+29.79%,364,분명 말씀드렸죠~이제 시작입니다ㅎㅎㅎㅎㅎㅎ[2] / 월봉 봐라  매집을 얼마나 했는지.. / 순간개미지옥추가,Positive (56%),"정원오, 오늘, 성수동",False
KOSDAQ,322510,제이엘케이,5980,2.82%,4330,4.29%,+26.69%,26,내일상 / 다들조심 / 어휴 진짜 드르라[1],Positive (100%),"이상, 상승했어요, 진짜",False
KOSDAQ,347700,스피어,11800,2.12%,8100,1.48%,+24.47%,81,영우문 차트좀 도와줘요 ㅠㅠㅠㅠㅠㅠㅠㅠ[2] / 좀전에 통화했다 / 폭락 한다....ㅋ[1],Positive (76%),"본계약, 이상, 상승했어요",False
KOSDAQ,466100,클로봇,63150,4.99%,51900,8.01%,+22.86%,349,클로봇 지금 고민중이시라면......... / 뮈  뜸을  드리냐 / 이거 모임??,Positive (64%),"클로봇, 오늘, 오늘은",False
KOSDAQ,101000,KS인더스트리,873,1.33%,717,1.30%,+21.59%,19,외인+프로그램 / 1200원까지 / ■경영권매각 하라!,Positive (100%),"이상, 상승했어요, 경영권",False
KOSDAQ,0009K0,에임드바이오,56000,0.99%,46600,0.85%,+19.91%,259,"개미턴다 / 흔들리지 마시고,,, 꽉 잡으세요.[2] / 시총 10조까지는",Positive (70%),"오늘, 이상, 이제",False
KOSDAQ,041920,메디아나,9340,1.42%,7880,1.52%,+19.74%,17,메디아나 이틀 연속 불기둥 ㄷㄷ 지금 타도 됨?... / 메디아나 상승요인[2] / 와우 투자하신분들 축하드려요~,Positive (85%),"이상, 상승했어요, 메디아나",False
KOSDAQ,290690,소룩스,5520,1.36%,4620,1.26%,+18.20%,220,시동한번 걸어봐라 / 어종보 / 상 2번가야 내려야 개미 털리지,Positive (59%),"상한가, 합병, 개미",False
KOSDAQ,048770,TPC,2695,2.62%,2280,2.53%,+16.92%,13,2900원에 물린  분 계삼?[3] / 서진오토모티브 서울터미널 서초동 사옥보유+휴머... / AI 휴먼노이드로봇(인간형로봇) 제작 땅부자 ...,Positive (83%),"이상, 상승했어요, AI",False
KOSPI,0126Z0,삼성에피스홀딩스,665000,5.32%,565000,5.39%,+16.87%,400,110만원은 봅니다 / 오늘 / 오늘 글 더이상 안적어요,Positive (54%),"오늘, 진짜, 시총",False
KOSPI,128820,대성산업,8890,0.85%,5940,1.01%,+15.16%,400,가격을 보니께  핵심필독. / 당분간 계속 재개발 재료일텐데 / 상한가만이 단일가를 피해갈수있다,Positive (52%),"오늘, ..., 이거",True
KOSDAQ,083650,비에이치아이,60500,14.16%,51800,15.38%,+14.80%,86,찐고수다 / 상말자 / 이래놓고 내일 또 장대음봉 나오면,Positive (73%),"이상, 상승했어요, 매도",False
KOSDAQ,389030,지니너스,3225,4.01%,2475,3.24%,+14.77%,22,2026년 목표가 10마넌 / 삼성이 투자한 바이오  지니너스[1] / 20% 이상 상승했어요 🎉[1],Positive (100%),"이상, 상승했어요, 지니너스",False
KOSDAQ,460940,피앤에스로보틱스,13750,1.59%,11510,1.14%,+13.54%,98,밑으로 돌릴때 다시온다[1] / 14층에서 놀아라 주포야 / 헤드앤 솔더 계단식 하락인거,Positive (77%),"로봇, 상한가, 이상",False
KOSDAQ,228670,레이,6680,5.63%,5790,5.96%,+13.22%,16,세계 1위 치과용 헬스케어 유통사와 맞손 / 김정수 사부님이 추천하길래[1] / 지난 3년 간 실적은 내리막인데...  누가 약...[1],Positive (100%),"이상, 상승했어요, 레이",False
KOSDAQ,060370,LS마린솔루션,33250,2.61%,30000,3.31%,+13.10%,49,마린을 시장가로 회장님이 사셨습니다 / 익절하고 3만원에 매수 대기 / 서로[2],Positive (77%),"이상, 집산다, 신용미수전재산몰빵",False
KOSDAQ,484810,티엑스알로보틱스,16980,1.68%,15130,1.56%,+12.15%,29,기회줄때. / 너는 뭐하냐?? / 잘먹고간다,Positive (100%),"상한가, 이상, 상승했어요",False
KOSDAQ,123010,아이윈플러스,1386,0.00%,1143,0.00%,+11.77%,11,야 ㅋㅋㅋ이걸 망설이는 애들이 있네 / 어째 운전이 차분한 게 알싸한 느낌이 / 야 20원에서 물량을 받아주지를 않는구나,Positive (80%),"이상, 상승했어요, 20원에서",False
KOSPI,009070,KCTC,7230,3.93%,5400,4.35%,+11.75%,55,"부동산 관련주 대박이네 / 음 / 재탕뉴스 아닙니다,,,[2]",Positive (90%),"롤링보소, 10%, 어제",False
KOSDAQ,122690,서진오토모티브,2155,1.27%,1910,1.22%,+11.37%,35,로봇을 알겠는데 땅은 어디에 얼마나 있다는겨?[1] / 상 보내라 / 사양산업 업종에 작전세력 찌라시에 당하네,Positive (100%),"로봇, 휴먼노이드, ...",False
KOSDAQ,003380,하림지주,12770,8.72%,8870,9.00%,+10.75%,400,"●●●ㅡ상속세금 ㅡ / 1시전엔, 보셔야  겠네요 . / 바라 처 박는다.",Positive (50%),"하림지주, 찬티알바꾀임에, 빠지면",False
KOSDAQ,319400,현대무벡스,11290,0.59%,10610,0.56%,+9.82%,84,"흔들리지 마시고,,, 꽉 잡으세요.[2] / 오늘 상치겠네 / 멍멍멍 죽는소리 했더니 드뎌 올라가는군. 내 촉...",Positive (82%),"오늘, 매수, 11000원",False
KOSPI,006340,대원전선,3870,4.43%,3540,4.61%,+9.48%,48,매물벽 소화가능한가 상칠수잇겟노?[1] / 보합 / 다음주에 올라갈거야..!!,Positive (100%),"만공교,알흠다운, 제주, 흑돈",False
KOSDAQ,056080,유진로봇,16200,16.05%,13660,15.14%,+9.16%,167,1  2  3[1] / 프로그램 / 매도,Negative (53%),"역시, 상한가, 클로봇",False
KOSDAQ,466690,키움히어로제1호스팩,2180,,1999,,+9.00%,272,지지선이 2천원인데[1] / 상장하고[1] / 야들아.. 이거 2000원도 보장된것도 아니야...,Positive (59%),"교보, 키움, 진짜",False
KOSDAQ,003310,대주산업,1677,6.32%,1529,6.26%,+8.68%,21,부동산이 시총보다 높다 팩트 그리고 혈연 대장주 / 혈족주라는걸 눈씻고 찾아봐도 검색이 안되는데 정... / 10% 이상 상승했어요 🎉,Positive (100%),"이상, 상승했어요, 정원오",False
KOSDAQ,299170,더블유에스아이,2640,2.27%,2320,2.17%,+8.64%,36,정신처나가지않는이상 이걸 쎄게안빠진다고 ... / 여기까지~ / 안빠지네 쎄네~~~[1],Positive (80%),"오늘, ..., 1년",False
KOSDAQ,209640,와이제이링크,3865,3.81%,3340,3.81%,+8.57%,71,다시 가면 신고합니다 진심 / 이제 5일 음봉 필수코스 / 흔들고 ~털었으면~,Positive (81%),"스페이스x, 이상, 상승했어요",False
KOSPI,249420,일동제약,43850,7.17%,32500,6.94%,+8.27%,263,오늘 44350 넘기면안되고 / 일동제약 빼려고하신다면 확인하세요^^ / 위로틴다 43450우ㅏㄴ 12시30 시작,Positive (82%),"일동, 일동제약, 오늘",True
KOSDAQ,314130,지놈앤컴퍼니,5640,2.33%,4740,1.99%,+8.05%,14,2만원도 싸다니깐!! 좀 말좀 들어라[7] / 기다리는 자에게 복이 있나니.[2] / !!현재 2차 저항선! ![3],Positive (80%),"이상, 상승했어요, 안녕~[1]",False
KOSPI,272210,한화시스템,51900,7.78%,47500,7.81%,+8.01%,185,한시 특징 잘 모르제 ? / 미안하다~~[1] / 오랫만에 호재 나왔네,Positive (76%),"오늘, 공매, 이제",False
KOSPI,067830,세이브존I&C,3345,9.39%,2605,9.41%,+7.90%,32,"세이브존아이앤씨, 초저평가 부동산주 급부상. ... / 경방 / 경방이 찐 ㅎㅎㅎ호",Positive (100%),"이상, 상승했어요, 경방",False
KOSDAQ,205100,엑셈,2120,6.75%,1952,6.79%,+7.89%,14,또 종암이 평석이 욕하지말고[1] / 투신은 기관중 가장 단타 / 언넘이 또 장난치네,Positive (100%),"어디까지, 갈려나?, 한번쯤",False
KOSDAQ,471820,셀로맥스사이언스,5780,0.93%,5500,0.75%,+7.43%,49,매수 깔림 그냥 던지 잖어  망한겨 / 마지막 물타기 ■■■■■■ / 상장하고 단한번도 상한가 못갔네,Positive (81%),"이상, 상승했어요, Win.",False
KOSDAQ,397030,에이프릴바이오,45250,2.03%,40800,1.89%,+7.10%,27,패턴똑같다고 단타치던것들[2] / 여기 주주는 대단한 분들이네[2] / 미래에셋 묵은지 다털리는중[1],Positive (100%),"오늘도, 에이프릴바이오, 이상",False
KOSDAQ,424870,이뮨온시아,15120,3.97%,11580,1.96%,+6.86%,149,이뮨 / 프매로 물량 다 받아먹고 / 성장성 비젼 어마무시 거래량 터져 종가 상가...,Positive (72%),"오늘, 이거, 종가",False
KOSPI,002780,진흥기업,719,1.13%,661,1.13%,+6.84%,19,탈출했다....감사 ㅠ 당분간 하락[5] / 개잡주생쑈ㅡ끝 / 또,Positive (66%),"이상, 상승했어요, 그래도",False
KOSDAQ,476060,온코닉테라퓨틱스,19190,2.07%,16370,1.93%,+6.61%,67,버텨봐야 소용없다.[1] / 챠트는. 예술입니다 / 잡코닉에 낚인 개미들,Negative (60%),"프로그램, 개미들, 매도",False
KOSDAQ,255220,SG,2705,2.94%,2555,2.87%,+6.29%,73,참 오래도 퍼뜩거린다[2] / 년말 종전하면 1만 돌파 ? / 눈아프다 그만하자,Positive (81%),"오늘, 고점, 이상",False
KOSDAQ,396270,넥스트칩,4360,1.56%,3505,1.81%,+6.08%,15,초롱초롱 어질어질 / 자꾸 위꼬리가 달리네[1] / 오늘 상안가나요[2],Positive (100%),"이상, 상승했어요, 여기",False
KOSDAQ,488900,비츠로넥스텍,9750,1.07%,9070,0.57%,+5.86%,77,허구언날 윗꼬리 /  / 가자,Positive (66%),"스페이스, 단주, 이재명",False
KOSPI,047810,한국항공우주,115900,32.33%,109100,32.17%,+5.75%,161,옛날에 ~~~[1] / 계속 찍어 누르네 참네 스프링된다 / 주포중에 가장  퀄리티 높은 주포는?,Positive (60%),"오늘, 다시, 할배다",False
KOSDAQ,018000,유니슨,1265,4.22%,1181,4.11%,+5.68%,16,신한 프로그램..[1] / 개미 탈곡기... / 여지것 잔거야?  다들 뛰는데[1],Positive (100%),"오늘, 금요일, 종가매수",False
KOSDAQ,006910,보성파워텍,5590,11.39%,5140,10.10%,+5.67%,39,염보성이 뭐하노? / 반절 매도 / 밀리네 못 가겠어,Negative (66%),"매도, 지금, 분발을",False
KOSPI,004960,한신공영,12000,4.11%,10040,3.86%,+5.45%,40,삼표시멘트 성수동땅보다 한신공영 강남고터앞 반포땅... / 대충!~가치만보면?...[3] / 땅부자주  삼표까지 상  다갔네요,Positive (66%),"한신공영, 이런거사면, 오후",False
KOSPI,097230,HJ중공업,23250,1.57%,22450,1.56%,+5.44%,92,마스가 프로젝트 숨은 진주다[1] / 오늘 2-3퍼 본다[1] / 슬슬,Positive (57%),"오늘, 오늘은, 슬슬",False
KOSPI,105840,우진,21350,14.71%,18240,12.64%,+5.43%,24,하방은 설마[1] / 오늘 많이 샀는데. .. / 뚫고가겠다,Mixed,"오늘, 오늘은, 다시",True
KOSPI,100090,SK오션플랜트,19680,7.15%,18660,7.32%,+5.30%,21,꼴보니까[1] / Make America Shipbuilding...[1] / Sk오션플랜트...,Positive (100%),"오늘, 매각, 디오션에서",False
