ts,sim,code,name,decision,reason,price,change_rate,amount,adx,tick_power,posts,unique_posters,posts_per_poster,avg_posts,buzz_ratio,total_likes,likes_per_post,sov,z_posters,z_sov,z_likes,ignition,hype_score,fact_score,z_hype,d_sov,d_hype,accel,accel_d1,hist_missing,hist_days_ago,ignition4
2026-07-29 11:24:07,sim1,000660,SK하이닉스,skip,price_moved,1389000.0,-10.39,7298027509500.0,49.0,0.0,768.0,663.0,1.16,1.0,768.00,1411,1.84,0.2208,2.468,2.241,-0.820,3.889,0.000,0.0,-1.172,0.000,0.000,0.082,0.000,1,,2.058
2026-07-29 11:24:07,sim1,475150,SK이터닉스,skip,price_moved,43200.0,-11.29,201153537375.0,26.0,0.0,425.0,238.0,1.79,1.0,425.00,902,2.12,0.1222,0.346,0.761,-0.563,0.544,0.033,0.0,-0.260,0.000,0.000,0.077,0.000,1,,0.064
2026-07-29 11:24:07,sim1,006360,GS건설,skip,price_moved,21600.0,-15.29,67395928025.0,25.4,0.0,130.0,66.0,1.97,1.0,130.00,241,1.85,0.0374,-0.513,-0.511,-0.805,-1.829,0.100,0.0,1.562,0.000,0.000,0.022,0.000,1,,-0.916
2026-07-29 11:24:07,sim1,035720,카카오,skip,cooldown,36050.0,1.12,89693049125.0,3.1,0.0,104.0,79.0,1.32,1.0,104.00,276,2.65,0.0299,-0.448,-0.623,-0.086,-1.157,0.100,0.0,1.562,0.000,0.000,0.015,0.000,1,,-0.491
2026-07-29 11:24:07,sim1,047040,대우건설,skip,price_moved,12080.0,-10.05,29863460520.0,46.2,0.0,139.0,72.0,1.93,1.0,139.00,231,1.66,0.0400,-0.483,-0.472,-0.977,-1.933,0.000,0.0,-1.172,0.000,0.000,0.043,0.000,1,,-0.972
2026-07-29 11:24:07,sim1,064260,다날,skip,price_moved,4735.0,13.96,64946499563.0,13.7,0.0,87.0,62.0,1.40,1.0,87.00,136,1.56,0.0250,-0.533,-0.697,-1.066,-2.296,0.100,0.0,1.562,0.000,0.000,0.000,0.000,1,,-1.066
2026-07-29 11:24:07,sim1,010170,대한광통신,skip,price_moved,7520.0,-11.01,37356359945.0,52.2,0.0,135.0,70.0,1.93,1.0,135.00,442,3.27,0.0388,-0.493,-0.490,0.472,-0.511,0.033,0.0,-0.260,0.000,0.000,0.028,0.000,1,,-0.257
2026-07-29 11:24:07,sim1,217730,강스템바이오텍,skip,price_moved,1889.0,-3.08,7941162295.0,50.9,0.0,114.0,69.0,1.65,1.0,114.00,490,4.30,0.0328,-0.498,-0.580,1.393,0.314,0.067,0.0,0.651,0.000,0.000,0.023,0.000,1,,0.198
2026-07-29 11:24:07,sim1,024060,흥구석유,skip,price_moved,10990.0,10.01,36816416365.0,81.9,0.0,236.0,103.0,2.29,1.0,236.00,595,2.52,0.0678,-0.328,-0.054,-0.205,-0.587,0.033,0.0,-0.260,0.000,0.000,0.020,0.000,1,,-0.431
2026-07-29 11:24:07,sim1,034020,두산에너빌리티,skip,cooldown,61600.0,-4.79,95195602450.0,36.0,0.0,152.0,96.0,1.58,1.0,152.00,720,4.74,0.0437,-0.363,-0.416,1.787,1.007,0.000,0.0,-1.172,0.000,0.000,0.028,0.000,1,,0.530
2026-07-29 11:24:07,sim1,073240,금호타이어,skip,price_moved,5560.0,-6.08,7766747930.0,20.9,0.0,90.0,62.0,1.45,1.0,90.00,441,4.90,0.0259,-0.533,-0.684,1.933,0.716,0.033,0.0,-0.260,0.000,0.000,0.022,0.000,1,,0.434
2026-07-29 11:24:07,sim1,002990,금호건설,skip,cooldown,7280.0,-10.01,12470969685.0,57.0,0.0,94.0,61.0,1.54,1.0,94.00,293,3.12,0.0270,-0.538,-0.667,0.331,-0.874,0.033,0.0,-0.260,0.000,0.000,0.026,0.000,1,,-0.373
2026-07-29 11:33:39,sim1,005930,삼성전자,skip,held,211500.0,-3.86,5342474495250.0,59.1,0.0,789.0,606.0,1.30,1.0,789.00,1805,2.29,0.2140,2.307,2.396,-0.331,4.372,0.000,0.0,-1.148,0.000,0.000,-0.006,0.000,1,,2.141
2026-07-29 11:33:39,sim1,006340,대원전선,skip,cooldown,11860.0,-12.79,128257842535.0,45.9,0.0,228.0,93.0,2.45,1.0,228.00,396,1.74,0.0618,-0.364,-0.079,-0.845,-1.287,0.033,0.0,-0.191,0.000,0.000,0.030,0.000,1,,-0.786
2026-07-29 11:33:39,sim1,000660,SK하이닉스,skip,price_moved,1423000.0,-8.19,7739142183500.0,49.0,0.0,775.0,672.0,1.15,1.0,775.00,1271,1.64,0.2102,2.650,2.335,-0.935,4.050,0.000,0.0,-1.148,0.000,0.000,0.183,0.000,1,,2.183
2026-07-29 11:33:39,sim1,475150,SK이터닉스,skip,price_moved,44150.0,-9.34,204678015525.0,26.0,0.0,435.0,242.0,1.80,1.0,435.00,915,2.10,0.1180,0.412,0.835,-0.503,0.744,0.033,0.0,-0.191,0.000,0.000,0.066,0.000,1,,0.161
2026-07-29 11:33:39,sim1,006360,GS건설,skip,price_moved,21800.0,-14.51,68926982475.0,25.4,0.0,134.0,66.0,2.03,1.0,134.00,241,1.80,0.0363,-0.504,-0.493,-0.787,-1.785,0.100,0.0,1.721,0.000,0.000,0.009,0.000,1,,-0.898
