date,code,open,high,low,close,volume,amount,name
20260907,005930,267000.0,267500.0,266000.0,266000.0,843867.0,225294650750.0,삼성전자
20260904,005930,254000.0,259000.0,252500.0,255500.0,14031862.0,3586126499750.0,삼성전자
20260903,005930,254000.0,255000.0,243000.0,250000.0,13756022.0,3452976472500.0,삼성전자
20260902,005930,252000.0,255500.0,249500.0,250500.0,15176841.0,3825055733000.0,삼성전자
20260901,005930,256500.0,262500.0,254000.0,261000.0,15319615.0,3975422357250.0,삼성전자
20260831,005930,249000.0,260000.0,246000.0,260000.0,18270969.0,4647038997556.0,삼성전자
20260828,005930,262500.0,266000.0,256000.0,257000.0,15106746.0,3925852660500.0,삼성전자
20260827,005930,270000.0,271000.0,262500.0,266000.0,16829395.0,4488160057932.0,삼성전자
20260826,005930,256500.0,266500.0,255500.0,261500.0,19532523.0,5109878328250.0,삼성전자
20260825,005930,249000.0,258000.0,245000.0,257000.0,21617407.0,5445381811750.0,삼성전자
20260824,005930,271500.0,272000.0,255000.0,257000.0,32451940.0,8456072427750.0,삼성전자
20260821,005930,267000.0,285000.0,266000.0,281500.0,27746471.0,7703213942500.0,삼성전자
20260820,005930,257000.0,273000.0,252500.0,271000.0,26095919.0,6961393123500.0,삼성전자
20260819,005930,251500.0,254500.0,246500.0,247500.0,22788552.0,5682871706750.0,삼성전자
20260818,005930,283000.0,288000.0,265000.0,268500.0,24464621.0,6742432203720.0,삼성전자
20260814,005930,275000.0,275500.0,266000.0,274500.0,21669476.0,5874450961500.0,삼성전자
20260813,005930,267500.0,271000.0,262500.0,268000.0,35530867.0,9517753428321.0,삼성전자
20260812,005930,243500.0,260500.0,241000.0,255500.0,27102479.0,6868918179750.0,삼성전자
20260811,005930,229500.0,243000.0,227500.0,239500.0,23310969.0,5537944545490.0,삼성전자
20260810,005930,236000.0,238500.0,228500.0,230000.0,16327805.0,3783527758000.0,삼성전자
20260807,005930,235000.0,239500.0,229000.0,231000.0,20546010.0,4791580972001.0,삼성전자
20260806,005930,241500.0,246000.0,228000.0,230500.0,26101823.0,6091288502000.0,삼성전자
20260805,005930,254000.0,254500.0,244000.0,246000.0,22577128.0,5610076087593.0,삼성전자
20260804,005930,244500.0,244500.0,228000.0,240000.0,29433821.0,6922844531100.0,삼성전자
20260803,005930,248000.0,249500.0,238000.0,239500.0,27825493.0,6736160892310.0,삼성전자
20260731,005930,257000.0,267000.0,243000.0,262500.0,58478873.0,14924241538350.0,삼성전자
20260730,005930,214000.0,226000.0,202000.0,207000.0,46694193.0,9915591555814.0,삼성전자
20260729,005930,226500.0,234000.0,189200.0,208500.0,65555523.0,13726154839133.0,삼성전자
20260907,000660,1737000.0,1747000.0,1735000.0,1741000.0,252976.0,440058777500.0,SK하이닉스
20260904,000660,1620000.0,1683000.0,1620000.0,1647000.0,2827892.0,4660912821500.0,SK하이닉스
20260903,000660,1643000.0,1649000.0,1558000.0,1596000.0,2632758.0,4244461616000.0,SK하이닉스
20260902,000660,1630000.0,1661000.0,1612000.0,1613000.0,2568478.0,4184138865903.0,SK하이닉스
20260901,000660,1666000.0,1713000.0,1652000.0,1693000.0,2727724.0,4606423190500.0,SK하이닉스
20260831,000660,1596000.0,1674000.0,1577000.0,1674000.0,3980661.0,6517555966000.0,SK하이닉스
20260828,000660,1704000.0,1725000.0,1653000.0,1653000.0,3531892.0,5984241623291.0,SK하이닉스
20260827,000660,1776000.0,1788000.0,1708000.0,1730000.0,3264042.0,5682108367937.0,SK하이닉스
20260826,000660,1668000.0,1735000.0,1662000.0,1688000.0,2923810.0,4976617187500.0,SK하이닉스
20260825,000660,1598000.0,1687000.0,1557000.0,1678000.0,4029660.0,6506368147160.0,SK하이닉스
20260824,000660,1775000.0,1792000.0,1670000.0,1671000.0,3994599.0,6858026942000.0,SK하이닉스
20260821,000660,1675000.0,1773000.0,1669000.0,1730000.0,4274294.0,7430733958500.0,SK하이닉스
20260820,000660,1613000.0,1720000.0,1576000.0,1691000.0,5452970.0,9109803915522.0,SK하이닉스
20260819,000660,1545000.0,1559000.0,1486000.0,1500000.0,4223067.0,6408342771947.0,SK하이닉스
20260818,000660,1736000.0,1792000.0,1640000.0,1662000.0,5139000.0,8802822440885.0,SK하이닉스
20260814,000660,1695000.0,1697000.0,1626000.0,1645000.0,4520990.0,7489699281000.0,SK하이닉스
20260813,000660,1582000.0,1634000.0,1567000.0,1593000.0,4680347.0,7514884503000.0,SK하이닉스
20260812,000660,1456000.0,1549000.0,1440000.0,1504000.0,4566672.0,6828245271868.0,SK하이닉스
20260811,000660,1405000.0,1455000.0,1373000.0,1425000.0,3817655.0,5405286435660.0,SK하이닉스
20260810,000660,1443000.0,1487000.0,1397000.0,1420000.0,3295283.0,4729433038360.0,SK하이닉스
20260807,000660,1521000.0,1542000.0,1409000.0,1422000.0,5002539.0,7254601948500.0,SK하이닉스
20260806,000660,1600000.0,1606000.0,1481000.0,1495000.0,5498295.0,8368490651952.0,SK하이닉스
20260805,000660,1693000.0,1701000.0,1647000.0,1668000.0,3945674.0,6621650676150.0,SK하이닉스
20260804,000660,1620000.0,1630000.0,1483000.0,1577000.0,5391210.0,8323856355440.0,SK하이닉스
20260803,000660,1642000.0,1645000.0,1562000.0,1567000.0,5432833.0,8641701506000.0,SK하이닉스
20260731,000660,1697000.0,1718000.0,1586000.0,1718000.0,10499619.0,17548832116000.0,SK하이닉스
20260730,000660,1361000.0,1459000.0,1287000.0,1322000.0,9543189.0,12945505619452.0,SK하이닉스
20260729,000660,1567000.0,1619000.0,1246000.0,1401000.0,12428883.0,17560826499500.0,SK하이닉스
20260907,005935,197000.0,197400.0,196200.0,196300.0,283470.0,55782898500.0,삼성전자우
20260904,005935,185500.0,192000.0,185400.0,191600.0,2510353.0,475695126800.0,삼성전자우
20260903,005935,187800.0,188800.0,179700.0,184100.0,1914009.0,353777937000.0,삼성전자우
20260902,005935,187000.0,189000.0,184300.0,185500.0,1874336.0,349356671500.0,삼성전자우
20260901,005935,186500.0,190500.0,184500.0,190300.0,2015205.0,380566546950.0,삼성전자우
20260831,005935,180900.0,187900.0,179200.0,186500.0,3633519.0,670653907144.0,삼성전자우
20260828,005935,189800.0,192500.0,186200.0,186800.0,3266136.0,615079852750.0,삼성전자우
20260827,005935,203500.0,204000.0,192500.0,194300.0,4002200.0,784844136636.0,삼성전자우
