ts,sim,code,name,decision,reason,price,change_rate,amount,adx,tick_power,posts,unique_posters,posts_per_poster,avg_posts,buzz_ratio,total_likes,likes_per_post,sov,z_posters,z_sov,z_likes,ignition,hype_score,fact_score,z_hype,d_sov,d_hype,accel,accel_d1,hist_missing,hist_days_ago,ignition4
2026-08-03 10:23:21,sim1,047040,대우건설,skip,price_moved,13440.0,5.16,49732234715.0,43.2,0.0,86.0,62.0,1.39,1.0,86.00,233,2.71,0.0301,-0.366,-0.429,0.097,-0.698,0.133,0.0,0.967,-0.085,0.681,0.096,0.123,0,3,0.473
2026-08-03 10:23:21,sim1,073240,금호타이어,skip,price_moved,6810.0,-6.58,23352842210.0,50.2,0.0,214.0,105.0,2.04,1.0,214.00,791,3.70,0.0750,-0.116,0.097,0.781,0.763,0.033,0.0,-0.925,-1.656,-1.211,0.124,-0.583,0,3,-2.310
2026-08-03 10:23:21,sim1,002990,금호건설,skip,no_trend,9030.0,-0.88,24278426710.0,7.2,0.0,78.0,46.0,1.70,1.0,78.00,169,2.17,0.0273,-0.459,-0.462,-0.279,-1.200,0.100,0.0,0.336,-0.808,0.986,0.081,-0.500,0,3,-0.796
2026-08-03 10:23:21,sim1,018880,한온시스템,skip,weak_ignition,3290.0,-0.45,7929764217.0,50.0,0.0,43.0,22.0,1.95,1.0,43.00,64,1.49,0.0151,-0.598,-0.606,-0.750,-1.954,0.067,0.0,-0.294,0.001,0.823,0.000,-0.140,0,3,0.021
2026-08-03 10:23:21,sim1,475150,SK이터닉스,skip,price_moved,46900.0,3.19,105878620250.0,61.5,0.0,91.0,55.0,1.65,1.0,91.00,215,2.36,0.0319,-0.406,-0.409,-0.144,-0.958,0.033,0.0,-0.925,-1.186,-2.614,0.102,-0.697,0,3,-3.000
2026-08-03 10:23:21,sim1,000660,SK하이닉스,skip,price_moved,1595000.0,-7.16,3702650834500.0,11.0,0.0,790.0,550.0,1.44,1.0,790.00,1057,1.34,0.2767,2.472,2.467,-0.854,4.085,0.033,0.0,-0.925,0.259,-2.146,0.274,-0.311,0,3,2.015
2026-08-03 10:23:21,sim1,010170,대한광통신,skip,price_moved,9580.0,12.31,89401846875.0,30.6,0.0,72.0,50.0,1.44,1.0,72.00,525,7.29,0.0252,-0.435,-0.487,3.274,2.352,0.133,0.0,0.967,0.257,0.213,0.089,0.139,0,3,2.304
2026-08-03 10:23:21,sim1,044340,위닉스,skip,price_moved,6000.0,24.35,32812998910.0,37.7,0.0,41.0,27.0,1.52,1.0,41.00,52,1.27,0.0144,-0.569,-0.614,-0.902,-2.086,0.067,0.0,-0.294,0.000,0.000,0.074,0.000,1,3,-1.020
2026-08-03 10:23:21,sim1,037070,파세코,skip,price_moved,7590.0,14.83,35776515980.0,28.0,0.0,40.0,31.0,1.29,1.0,40.00,57,1.43,0.0140,-0.546,-0.618,-0.794,-1.958,0.100,0.0,0.336,0.000,0.000,0.000,0.000,1,3,-0.943
2026-08-03 10:23:21,sim1,950160,코오롱티슈진,skip,price_moved,15080.0,16.00,31168703140.0,52.2,0.0,107.0,67.0,1.60,1.0,107.00,321,3.00,0.0375,-0.337,-0.343,0.298,-0.381,0.167,0.0,1.597,0.269,1.779,0.193,0.049,0,3,1.687
2026-08-03 10:23:21,sim1,079650,서산,skip,weak_ignition,4335.0,2.00,5713473700.0,20.1,0.0,51.0,22.0,2.32,1.0,51.00,110,2.16,0.0179,-0.598,-0.573,-0.286,-1.458,0.033,0.0,-0.925,0.075,0.193,0.000,0.037,0,3,0.065
2026-08-03 10:23:21,sim1,009150,삼성전기,skip,price_moved,1210000.0,5.95,777632415000.0,25.8,0.0,249.0,169.0,1.47,1.0,249.00,839,3.37,0.0872,0.257,0.241,0.555,1.053,0.200,0.0,2.228,0.000,0.000,0.201,0.000,1,3,0.534
2026-08-03 10:23:21,sim1,024060,흥구석유,skip,price_moved,9910.0,-11.04,10695273725.0,7.0,0.0,139.0,82.0,1.70,1.0,139.00,308,2.22,0.0487,-0.249,-0.211,-0.245,-0.706,0.067,0.0,-0.294,0.000,0.000,0.119,0.000,1,3,-0.372
2026-08-03 10:33:24,sim1,005930,삼성전자,skip,price_moved,242750.0,-7.52,2933377294250.0,8.3,0.0,793.0,556.0,1.43,1.0,793.00,1659,2.09,0.2635,2.576,2.565,-0.355,4.786,0.000,0.0,-1.186,0.339,-1.939,0.069,-0.042,0,3,2.509
2026-08-03 10:33:24,sim1,006340,대원전선,skip,weak_ignition,13240.0,1.85,62166476075.0,15.5,0.0,61.0,29.0,2.10,1.0,61.00,120,1.97,0.0203,-0.566,-0.539,-0.447,-1.551,0.033,0.0,-0.644,0.005,-1.865,-0.008,-0.138,0,3,-1.162
2026-08-03 10:33:24,sim1,047040,대우건설,skip,price_moved,13350.0,4.46,50853835065.0,43.2,0.0,87.0,62.0,1.40,1.0,87.00,244,2.80,0.0289,-0.369,-0.429,0.165,-0.633,0.133,0.0,0.983,-0.085,0.697,-0.003,0.120,0,3,0.467
2026-08-03 10:33:24,sim1,073240,금호타이어,skip,price_moved,6770.0,-7.13,24066396860.0,50.2,0.0,221.0,109.0,2.03,1.0,221.00,817,3.70,0.0734,-0.089,0.139,0.816,0.867,0.033,0.0,-0.644,-1.614,-0.930,0.027,-0.557,0,3,-2.114
2026-08-03 10:33:24,sim1,002990,금호건설,skip,no_trend,9000.0,-1.21,24954612220.0,7.2,0.0,82.0,47.0,1.74,1.0,82.00,183,2.23,0.0272,-0.458,-0.450,-0.254,-1.162,0.000,0.0,-1.186,-0.796,-0.536,0.000,-0.500,0,3,-1.549
2026-08-03 10:33:24,sim1,018880,한온시스템,skip,weak_ignition,3280.0,-0.76,8193978848.0,50.0,0.0,44.0,23.0,1.91,1.0,44.00,68,1.55,0.0146,-0.601,-0.611,-0.754,-1.967,0.067,0.0,-0.102,-0.004,1.016,-0.003,-0.143,0,3,0.059
2026-08-03 10:33:24,sim1,475150,SK이터닉스,skip,weak_ignition,46600.0,2.53,112407935200.0,61.5,0.0,98.0,59.0,1.66,1.0,98.00,226,2.31,0.0326,-0.387,-0.382,-0.199,-0.968,0.033,0.0,-0.644,-1.160,-2.333,0.020,-0.678,0,3,-2.904
2026-08-03 10:33:24,sim1,000660,SK하이닉스,skip,price_moved,1586000.0,-7.68,3852613852000.0,11.0,0.0,792.0,558.0,1.42,1.0,792.00,1169,1.48,0.2631,2.588,2.560,-0.805,4.344,0.033,0.0,-0.644,0.353,-1.865,0.116,-0.195,0,3,2.355
2026-08-03 10:33:24,sim1,010170,대한광통신,skip,price_moved,9510.0,11.49,93290164300.0,30.6,0.0,76.0,52.0,1.46,1.0,76.00,549,7.22,0.0252,-0.429,-0.475,3.390,2.486,0.133,0.0,0.983,0.268,0.229,0.007,0.146,0,3,2.339
2026-08-03 10:33:24,sim1,044340,위닉스,skip,price_moved,5940.0,23.11,33392611520.0,37.7,0.0,42.0,28.0,1.50,1.0,42.00,57,1.36,0.0140,-0.572,-0.620,-0.892,-2.083,0.067,0.0,-0.102,0.000,0.000,-0.002,0.000,1,3,-1.018
2026-08-03 10:33:24,sim1,037070,파세코,skip,price_moved,7570.0,14.52,36195647585.0,28.0,0.0,42.0,32.0,1.31,1.0,42.00,59,1.40,0.0140,-0.548,-0.620,-0.857,-2.024,0.100,0.0,0.440,0.000,0.000,-0.002,0.000,1,3,-0.976
