timestamp,event,model,prompt_tokens,output_tokens,total_tokens,req_stocks,resp_stocks,req_posts,req_chars,body_ok,body_fail,cache_hit,cache_miss,posts_dropped,noise_only_stocks
2026-07-28 12:13:38,batch_call,gemini-2.5-flash-lite,1276,664,1940,10,10,50,2318,,,,,,
2026-07-28 12:13:41,batch_call,gemini-2.5-flash-lite,992,489,1481,7,7,35,1846,,,,,,
2026-07-28 12:23:26,run_summary,,,,,,,,,0,85,,,,
2026-07-28 12:23:32,batch_call,gemini-2.5-flash-lite,1253,631,1884,10,10,50,2279,,,,,,
2026-07-28 12:23:34,batch_call,gemini-2.5-flash-lite,995,522,1517,7,7,35,1854,,,,,,
2026-07-28 12:33:25,run_summary,,,,,,,,,0,85,,,,
2026-07-28 12:33:30,batch_call,gemini-2.5-flash-lite,1274,638,1912,10,10,50,2297,,,,,,
2026-07-28 12:33:32,batch_call,gemini-2.5-flash-lite,1002,461,1463,7,7,35,1864,,,,,,
2026-07-28 12:43:26,run_summary,,,,,,,,,0,85,,,,
2026-07-28 12:43:31,batch_call,gemini-2.5-flash-lite,1280,755,2035,10,10,50,2306,,,,,,
2026-07-28 12:43:33,batch_call,gemini-2.5-flash-lite,1004,467,1471,7,7,35,1860,,,,,,
2026-07-28 12:53:19,run_summary,,,,,,,,,0,85,,,,
2026-07-28 12:53:24,batch_call,gemini-2.5-flash-lite,1276,702,1978,10,10,50,2303,,,,,,
2026-07-28 12:53:27,batch_call,gemini-2.5-flash-lite,999,521,1520,7,7,35,1857,,,,,,
2026-07-28 13:03:32,run_summary,,,,,,,,,0,85,,,,
2026-07-28 13:03:38,batch_call,gemini-2.5-flash-lite,1274,766,2040,10,10,50,2310,,,,,,
2026-07-28 13:03:41,batch_call,gemini-2.5-flash-lite,1016,478,1494,7,7,35,1877,,,,,,
2026-07-28 13:07:10,batch_call,gemini-2.5-flash,392,263,3757,,,,632,,,,,,
2026-07-28 13:07:27,batch_call,gemini-2.5-flash,425,256,3693,,,,679,,,,,,
2026-07-28 13:13:17,run_summary,,,,,,,,,0,85,,,,
2026-07-28 13:13:22,batch_call,gemini-2.5-flash-lite,1282,614,1896,10,10,50,2320,,,,,,
2026-07-28 13:13:24,batch_call,gemini-2.5-flash-lite,1014,428,1442,7,7,35,1870,,,,,,
2026-07-28 13:23:14,run_summary,,,,,,,,,0,85,,,,
2026-07-28 13:23:19,batch_call,gemini-2.5-flash-lite,1303,699,2002,10,10,50,2354,,,,,,
2026-07-28 13:23:23,batch_call,gemini-2.5-flash-lite,1018,526,1544,7,7,35,1886,,,,,,
2026-07-28 13:33:10,run_summary,,,,,,,,,0,85,,,,
2026-07-28 13:33:16,batch_call,gemini-2.5-flash-lite,1305,754,2059,10,10,50,2366,,,,,,
2026-07-28 13:33:18,batch_call,gemini-2.5-flash-lite,1012,449,1461,7,7,35,1875,,,,,,
2026-07-28 13:43:09,run_summary,,,,,,,,,0,85,,,,
2026-07-28 13:43:14,batch_call,gemini-2.5-flash-lite,1299,633,1932,10,10,50,2347,,,,,,
2026-07-28 13:43:17,batch_call,gemini-2.5-flash-lite,1003,447,1450,7,7,35,1859,,,,,,
2026-07-28 13:53:36,run_summary,,,,,,,,,0,90,,,,
2026-07-28 13:53:42,batch_call,gemini-2.5-flash-lite,1292,693,1985,10,10,50,2331,,,,,,
2026-07-28 13:53:45,batch_call,gemini-2.5-flash-lite,1104,616,1720,8,8,40,2010,,,,,,
2026-07-28 14:03:23,run_summary,,,,,,,,,0,80,,,,
2026-07-28 14:03:28,batch_call,gemini-2.5-flash-lite,1273,593,1866,10,10,50,2314,,,,,,
2026-07-28 14:03:30,batch_call,gemini-2.5-flash-lite,913,462,1375,6,6,30,1712,,,,,,
2026-07-28 14:06:58,batch_call,gemini-2.5-flash,412,227,1943,,,,662,,,,,,
2026-07-28 14:07:10,batch_call,gemini-2.5-flash,417,274,2603,,,,661,,,,,,
2026-07-28 14:13:15,run_summary,,,,,,,,,0,80,,,,
2026-07-28 14:13:20,batch_call,gemini-2.5-flash-lite,1275,665,1940,10,10,50,2308,,,,,,
2026-07-28 14:13:21,batch_call,gemini-2.5-flash-lite,914,344,1258,6,6,30,1711,,,,,,
2026-07-28 14:22:59,run_summary,,,,,,,,,0,80,,,,
2026-07-28 14:23:04,batch_call,gemini-2.5-flash-lite,1289,557,1846,10,10,50,2327,,,,,,
2026-07-28 14:23:06,batch_call,gemini-2.5-flash-lite,929,396,1325,6,6,30,1728,,,,,,
2026-07-28 14:33:29,run_summary,,,,,,,,,0,80,,,,
2026-07-28 14:33:34,batch_call,gemini-2.5-flash-lite,1275,661,1936,10,10,50,2301,,,,,,
2026-07-28 14:33:37,batch_call,gemini-2.5-flash-lite,917,436,1353,6,6,30,1711,,,,,,
2026-07-28 14:43:20,run_summary,,,,,,,,,0,85,,,,
2026-07-28 14:43:25,batch_call,gemini-2.5-flash-lite,1304,581,1885,10,10,50,2352,,,,,,
2026-07-28 14:43:27,batch_call,gemini-2.5-flash-lite,999,432,1431,7,7,35,1843,,,,,,
2026-07-28 14:53:27,run_summary,,,,,,,,,0,85,,,,
2026-07-28 14:53:31,batch_call,gemini-2.5-flash-lite,1282,550,1832,10,10,50,2308,,,,,,
2026-07-28 14:53:33,batch_call,gemini-2.5-flash-lite,1032,469,1501,7,7,35,1901,,,,,,
2026-07-28 15:03:36,run_summary,,,,,,,,,0,85,,,,
2026-07-28 15:03:39,,,,,,10,0,50,,,,,,,
2026-07-28 15:03:42,batch_call,gemini-2.5-flash-lite,1027,573,1600,7,7,35,1895,,,,,,
2026-07-28 15:04:00,batch_call,gemini-2.5-flash-lite,232,74,306,,,,501,,,,,,
2026-07-28 15:08:04,batch_call,gemini-2.5-flash,442,247,2521,,,,701,,,,,,
2026-07-28 15:08:14,batch_call,gemini-2.5-flash,445,284,2392,,,,695,,,,,,
2026-07-28 15:13:46,run_summary,,,,,,,,,0,85,,,,
2026-07-28 15:13:51,batch_call,gemini-2.5-flash-lite,1278,635,1913,10,10,50,2316,,,,,,
2026-07-28 15:13:54,batch_call,gemini-2.5-flash-lite,1039,493,1532,7,7,35,1906,,,,,,
2026-07-28 15:23:38,run_summary,,,,,,,,,0,95,,,,
2026-07-28 15:23:43,batch_call,gemini-2.5-flash-lite,1260,712,1972,10,10,50,2282,,,,,,
2026-07-28 15:23:46,batch_call,gemini-2.5-flash-lite,1214,596,1810,9,9,45,2193,,,,,,
2026-07-28 15:33:46,run_summary,,,,,,,,,0,90,,,,
2026-07-28 15:33:51,batch_call,gemini-2.5-flash-lite,1272,615,1887,10,10,50,2296,,,,,,
2026-07-28 15:33:53,batch_call,gemini-2.5-flash-lite,1129,477,1606,8,8,40,2053,,,,,,
2026-07-28 16:18:52,run_summary,,,,,,,,,0,85,,,,
