timestamp,symbol,action,price,quantity,total_amount,reason,roi,roi_amount
2026-08-31 10:34:13,KODEX 인버스(114800),BUY,1053,1880,1979640,[인버스] 하락 추세추종 매수 (MA5 상회 + 당일 상승),,
2026-09-02 09:03:06,KODEX 인버스(114800),SELL,1021,1880,1919480,[레인지] 하드 손절 (-3.0%),-3.23,-63903
2026-09-02 09:03:06,셀트리온(068270),BUY,185400,2,370800,"[레인지] 저점 매수 (채널폭 13.3%, 저점 185800)",,
2026-09-02 09:03:06,카카오(035720),BUY,35950,10,359500,"[레인지] 저점 매수 (채널폭 13.7%, 저점 35800)",,
2026-09-02 09:13:09,KT&G(033780),BUY,173600,2,347200,"[레인지] 저점 매수 (채널폭 9.8%, 저점 171900)",,
2026-09-02 09:13:09,한국금융지주(071050),BUY,187700,2,375400,"[레인지] 저점 매수 (채널폭 14.4%, 저점 183100)",,
2026-09-02 09:23:20,NAVER(035420),BUY,211000,1,211000,"[레인지] 저점 매수 (채널폭 10.1%, 저점 208000)",,
2026-09-02 10:21:53,셀트리온(068270),SELL,188600,2,377200,[Sim10-BEAR] 국면전환 잔여 청산,+1.53,5664
2026-09-02 10:21:53,카카오(035720),SELL,36000,10,360000,[Sim10-BEAR] 국면전환 잔여 청산,-0.06,-202
2026-09-02 10:21:53,KT&G(033780),SELL,173000,2,346000,[Sim10-BEAR] 국면전환 잔여 청산,-0.54,-1875
2026-09-02 10:21:53,한국금융지주(071050),SELL,187800,2,375600,[Sim10-BEAR] 국면전환 잔여 청산,-0.14,-532
2026-09-02 10:21:53,NAVER(035420),SELL,212500,1,212500,[Sim10-BEAR] 국면전환 잔여 청산,+0.51,1086
2026-09-03 09:33:21,현대차(005380),BUY,378500,1,378500,"[레인지] 저점 매수 (채널폭 19.8%, 저점 378000)",,
2026-09-03 09:33:21,기아(000270),BUY,124600,3,373800,"[레인지] 저점 매수 (채널폭 13.9%, 저점 124400)",,
2026-09-03 09:33:21,셀트리온(068270),BUY,189500,2,379000,"[레인지] 저점 매수 (채널폭 13.0%, 저점 186300)",,
2026-09-03 09:33:21,NAVER(035420),BUY,209500,1,209500,"[레인지] 저점 매수 (채널폭 10.1%, 저점 208000)",,
2026-09-03 09:33:21,한화오션(042660),BUY,83100,4,332400,"[레인지] 저점 매수 (채널폭 16.8%, 저점 82000)",,
