date,code,close,prsn_net,frgn_net,orgn_net,prsn_buy,frgn_buy,orgn_buy,prsn_sell,frgn_sell,orgn_sell
20260720,010140,20950.0,432361.0,-336551.0,14294.0,1036670.0,943910.0,604523.0,604309.0,1280461.0,590229.0
20260720,010170,9460.0,-590531.0,590558.0,445.0,3603127.0,2122346.0,9630.0,4193658.0,1531788.0,9185.0
20260720,010950,146700.0,-94861.0,-200144.0,296448.0,66254.0,169222.0,368253.0,161115.0,369366.0,71805.0
20260720,011070,602000.0,13970.0,143.0,-14681.0,55955.0,86645.0,49280.0,41985.0,86502.0,63961.0
20260720,011170,57600.0,44000.0,-8672.0,-35252.0,57183.0,37616.0,10785.0,13183.0,46288.0,46037.0
20260720,011200,20150.0,-497411.0,61434.0,441674.0,251516.0,592416.0,569460.0,748927.0,530982.0,127786.0
20260720,011780,117100.0,4178.0,-9611.0,5177.0,10904.0,42882.0,16891.0,6726.0,52493.0,11714.0
20260720,011790,78400.0,35527.0,-27176.0,-9193.0,117866.0,80938.0,24038.0,82339.0,108114.0,33231.0
20260720,012330,472500.0,-42125.0,53106.0,-16436.0,27317.0,210948.0,72444.0,69442.0,157842.0,88880.0
20260720,012450,875000.0,6672.0,-26580.0,19166.0,18178.0,333282.0,63251.0,11506.0,359862.0,44085.0
20260720,012750,71000.0,-27.0,-8987.0,9014.0,2009.0,19512.0,14136.0,2036.0,28499.0,5122.0
20260720,014620,24400.0,-14477.0,39113.0,-24636.0,14235.0,75273.0,8680.0,28712.0,36160.0,33316.0
20260720,015750,5550.0,17708.0,-11974.0,-9256.0,105320.0,71452.0,11251.0,87612.0,83426.0,20507.0
20260720,015760,33000.0,-261944.0,270070.0,-28143.0,271344.0,762673.0,535464.0,533288.0,492603.0,563607.0
20260720,016360,101700.0,24113.0,-74900.0,47864.0,88588.0,156101.0,100547.0,64475.0,231001.0,52683.0
20260720,017670,84700.0,-40802.0,-227111.0,267502.0,248122.0,446586.0,397693.0,288924.0,673697.0,130191.0
20260720,017800,66400.0,27270.0,-26308.0,-1963.0,44398.0,59465.0,40319.0,17128.0,85773.0,42282.0
20260720,018260,185800.0,16893.0,-46364.0,29845.0,84832.0,53163.0,97197.0,67939.0,99527.0,67352.0
20260720,018290,11160.0,1135.0,1969.0,-1818.0,47474.0,50207.0,7282.0,46339.0,48238.0,9100.0
20260720,018880,3385.0,29818.0,-174225.0,139518.0,1343364.0,1888171.0,390163.0,1313546.0,2062396.0,250645.0
20260720,019210,21300.0,123506.0,-132741.0,-399.0,477854.0,165511.0,79133.0,354348.0,298252.0,79532.0
20260720,021240,92400.0,1262.0,-27561.0,26260.0,13138.0,90073.0,39578.0,11876.0,117634.0,13318.0
20260720,022100,17510.0,15008.0,-27292.0,10475.0,105365.0,199995.0,38988.0,90357.0,227287.0,28513.0
20260720,023160,20700.0,34505.0,5427.0,-41333.0,56439.0,49737.0,13302.0,21934.0,44310.0,54635.0
20260720,023530,126500.0,-20503.0,60086.0,-36766.0,13800.0,145482.0,24149.0,34303.0,85396.0,60915.0
20260720,024110,21200.0,23507.0,-146815.0,137613.0,175151.0,586891.0,262469.0,151644.0,733706.0,124856.0
20260720,024850,9430.0,7878.0,-12117.0,3162.0,131923.0,103499.0,29420.0,124045.0,115616.0,26258.0
20260720,025980,3715.0,-30447.0,42706.0,-12309.0,296401.0,236034.0,11857.0,326848.0,193328.0,24166.0
20260720,026960,24950.0,-14333.0,1491.0,12742.0,15692.0,23183.0,19720.0,30025.0,21692.0,6978.0
20260720,028050,39200.0,-113907.0,33307.0,82620.0,369686.0,508549.0,253611.0,483593.0,475242.0,170991.0
20260720,028260,317500.0,-21723.0,8301.0,12040.0,54736.0,443759.0,172304.0,76459.0,435458.0,160264.0
20260720,028300,30550.0,178709.0,-114714.0,-68449.0,740890.0,483117.0,53169.0,562181.0,597831.0,121618.0
20260720,028670,5040.0,3310.0,-164363.0,166985.0,303922.0,455962.0,326754.0,300612.0,620325.0,159769.0
20260720,029780,47900.0,-12103.0,1769.0,10449.0,6173.0,53735.0,25818.0,18276.0,51966.0,15369.0
20260720,030200,53500.0,-148923.0,-2890.0,172958.0,26198.0,94912.0,270655.0,175121.0,97802.0,97697.0
20260720,030520,15770.0,1889.0,-7004.0,5115.0,18464.0,21264.0,12613.0,16575.0,28268.0,7498.0
20260720,030530,15540.0,-36821.0,50624.0,-11146.0,183340.0,180291.0,6092.0,220161.0,129667.0,17238.0
20260720,031210,41250.0,10031.0,-19993.0,9999.0,18257.0,12599.0,10787.0,8226.0,32592.0,788.0
20260720,031330,10300.0,16109.0,-94213.0,76657.0,288207.0,195636.0,112860.0,272098.0,289849.0,36203.0
20260720,031980,128200.0,16771.0,51103.0,-66792.0,59681.0,112237.0,46579.0,42910.0,61134.0,113371.0
20260720,032190,17450.0,11183.0,-10235.0,-1553.0,28492.0,37515.0,10933.0,17309.0,47750.0,12486.0
20260720,032500,13890.0,14757.0,-7260.0,-7497.0,80208.0,75198.0,10761.0,65451.0,82458.0,18258.0
20260720,032640,14500.0,-77513.0,-64121.0,142124.0,38863.0,997798.0,247602.0,116376.0,1061919.0,105478.0
20260720,032820,9070.0,-205731.0,288032.0,-82898.0,1178145.0,902450.0,39687.0,1383876.0,614418.0,122585.0
20260720,032830,301500.0,13924.0,-18378.0,4616.0,35616.0,429853.0,101370.0,21692.0,448231.0,96754.0
20260720,033100,40400.0,-346.0,5319.0,-5580.0,51897.0,46879.0,7752.0,52243.0,41560.0,13332.0
20260720,033500,15390.0,6326.0,150.0,-8497.0,30372.0,31694.0,5973.0,24046.0,31544.0,14470.0
20260720,033640,18380.0,11270.0,-27021.0,15349.0,41630.0,71072.0,23539.0,30360.0,98093.0,8190.0
20260720,033780,179400.0,-383.0,-32793.0,33556.0,13352.0,146913.0,78355.0,13735.0,179706.0,44799.0
20260720,033790,5380.0,1088.0,-1088.0,0.0,168694.0,152734.0,0.0,167606.0,153822.0,0.0
20260720,034020,64800.0,-251444.0,250746.0,-2863.0,895864.0,1209178.0,718647.0,1147308.0,958432.0,721510.0
20260720,034220,9880.0,1108653.0,-971833.0,-149554.0,2135474.0,1820091.0,410839.0,1026821.0,2791924.0,560393.0
20260720,034730,579000.0,-15346.0,-33180.0,48386.0,18857.0,105412.0,98238.0,34203.0,138592.0,49852.0
20260720,034950,101100.0,-444.0,444.0,0.0,274.0,787.0,47.0,718.0,343.0,47.0
20260720,035250,14260.0,-14877.0,-79952.0,94676.0,67010.0,166088.0,119749.0,81887.0,246040.0,25073.0
20260720,035420,185900.0,-73521.0,38542.0,36886.0,138428.0,299947.0,189946.0,211949.0,261405.0,153060.0
20260720,035720,35050.0,97787.0,-206152.0,105219.0,779762.0,725150.0,357656.0,681975.0,931302.0,252437.0
20260720,035760,28850.0,-996.0,-14252.0,15113.0,17505.0,21069.0,26364.0,18501.0,35321.0,11251.0
20260720,035890,1920.0,38772.0,-157975.0,119460.0,180529.0,100161.0,125045.0,141757.0,258136.0,5585.0
20260720,035900,44600.0,37931.0,390.0,-38794.0,69295.0,95048.0,38639.0,31364.0,94658.0,77433.0
20260720,036460,31700.0,-16662.0,-20784.0,38007.0,34640.0,76834.0,51928.0,51302.0,97618.0,13921.0
20260720,036540,5610.0,17458.0,-314988.0,280103.0,1683470.0,1519040.0,743409.0,1666012.0,1834028.0,463306.0
20260720,036570,210500.0,-31269.0,48824.0,-17563.0,14022.0,81112.0,19603.0,45291.0,32288.0,37166.0
20260720,036810,20200.0,2598.0,1654.0,-4252.0,45803.0,54100.0,3618.0,43205.0,52446.0,7870.0
20260720,036830,29250.0,20084.0,-10006.0,-10659.0,27962.0,21875.0,5482.0,7878.0,31881.0,16141.0
20260720,036930,167900.0,122939.0,-7608.0,-115571.0,815022.0,347049.0,159507.0,692083.0,354657.0,275078.0
20260720,037460,33550.0,29207.0,-41418.0,10163.0,56093.0,20793.0,16534.0,26886.0,62211.0,6371.0
20260720,038500,7220.0,-16518.0,16940.0,-413.0,276539.0,188968.0,30074.0,293057.0,172028.0,30487.0
20260720,039030,317000.0,-5876.0,46987.0,-41745.0,29213.0,144787.0,33039.0,35089.0,97800.0,74784.0
20260720,039200,30600.0,38966.0,-41859.0,-2214.0,80077.0,67658.0,24312.0,41111.0,109517.0,26526.0
20260720,039490,307000.0,6165.0,-4939.0,-1298.0,13543.0,22408.0,17059.0,7378.0,27347.0,18357.0
20260720,041510,67100.0,-6049.0,25407.0,-19306.0,18081.0,55898.0,16926.0,24130.0,30491.0,36232.0
20260720,041830,50900.0,7184.0,-1745.0,-7406.0,20921.0,37806.0,5120.0,13737.0,39551.0,12526.0
20260720,041960,7000.0,16847.0,-16961.0,100.0,64946.0,36515.0,9881.0,48099.0,53476.0,9781.0
20260720,042660,83200.0,494910.0,-603415.0,104426.0,1242618.0,403101.0,478845.0,747708.0,1006516.0,374419.0
20260720,042700,222000.0,111958.0,-67111.0,-46206.0,376031.0,256154.0,156622.0,264073.0,323265.0,202828.0
20260720,043260,16590.0,-208459.0,224658.0,60.0,511844.0,517774.0,104205.0,720303.0,293116.0,104145.0
20260720,044490,24250.0,2023.0,4533.0,-6568.0,51051.0,41745.0,5223.0,49028.0,37212.0,11791.0
20260720,045100,29000.0,-14002.0,15614.0,224.0,89946.0,61889.0,20814.0,103948.0,46275.0,20590.0
20260720,046890,8460.0,4692.0,-3792.0,-918.0,68264.0,100047.0,17639.0,63572.0,103839.0,18557.0
20260720,047040,14540.0,-621714.0,549402.0,73968.0,978901.0,1534535.0,319542.0,1600615.0,985133.0,245574.0
20260720,047050,50600.0,-34470.0,-124728.0,158794.0,47567.0,172937.0,218829.0,82037.0,297665.0,60035.0
20260720,047810,143900.0,18272.0,-156954.0,135996.0,71634.0,123210.0,246138.0,53362.0,280164.0,110142.0
20260720,048410,6080.0,-61122.0,77334.0,-16224.0,292212.0,207194.0,56609.0,353334.0,129860.0,72833.0
20260720,050890,8870.0,-100821.0,104317.0,-3168.0,319539.0,427867.0,17055.0,420360.0,323550.0,20223.0
20260720,051900,245000.0,-9513.0,-3195.0,12734.0,5389.0,30715.0,22185.0,14902.0,33910.0,9451.0
20260720,051910,253000.0,-11129.0,52973.0,-41770.0,18005.0,185321.0,47086.0,29134.0,132348.0,88856.0
20260720,052020,7000.0,-21419.0,8004.0,0.0,104709.0,74875.0,0.0,126128.0,66871.0,0.0
20260720,052400,39400.0,4970.0,-2968.0,-2003.0,15309.0,13614.0,4589.0,10339.0,16582.0,6592.0
20260720,052690,87000.0,-15713.0,13180.0,2203.0,21372.0,59606.0,23949.0,37085.0,46426.0,21746.0
20260720,053610,62600.0,-3797.0,-1560.0,4747.0,9999.0,17361.0,7060.0,13796.0,18921.0,2313.0
20260720,053800,52100.0,-602.0,-691.0,1285.0,13568.0,140789.0,3037.0,14170.0,141480.0,1752.0
20260720,055550,101800.0,84616.0,-213197.0,132214.0,156734.0,798081.0,422532.0,72118.0,1011278.0,290318.0
20260720,056080,11320.0,9435.0,-5943.0,-3492.0,71920.0,73770.0,9880.0,62485.0,79713.0,13372.0
