date,code,name,nid,title,likes
20260729,475150,SK이터닉스,426569254,돔황챠,0
20260729,475150,SK이터닉스,426569197,이터널리턴 이터 마감 하게 해주세요,0
20260729,475150,SK이터닉스,426568918,주린이,0
20260729,475150,SK이터닉스,426568765,한국투자증권쓰는중인데 이터닉스는 신용거래안되던...,0
20260729,475150,SK이터닉스,426568713,유가폭등 블룸에너지 폭등,3
20260729,475150,SK이터닉스,426568585,반대매매 많이 나오겠네ㅎㅎㅎㅎ,3
20260729,475150,SK이터닉스,426568560,얘는 다시한번 말하지만,2
20260729,475150,SK이터닉스,426568540,"어,,, 일단,,,",2
20260729,475150,SK이터닉스,426568530,양전 시작하여 급등간다,1
20260729,475150,SK이터닉스,426568513,와 대피하라 차트망가졋네 41000원대까지,2
20260729,475150,SK이터닉스,426568492,나락가이,0
20260729,475150,SK이터닉스,426568438,개 4기 극이 극에 달했다,0
20260729,475150,SK이터닉스,426568357,이 종목은,0
20260729,475150,SK이터닉스,426568288,다시12700원 돌아가나? 대기업주들 아작나는...,1
20260729,475150,SK이터닉스,426568211,유가폭락 급등?이젠 안먹히네 망가졌나봐ㅋㅋㅋ반...,1
20260729,475150,SK이터닉스,426568147,뭐?,2
20260729,475150,SK이터닉스,426568133,오늘도 -20가보자!!,2
20260729,475150,SK이터닉스,426567956,혹시 나좀 살려줄랭..?,1
20260729,475150,SK이터닉스,426567867,헉 아니 뭔....,1
20260729,475150,SK이터닉스,426567644,언능,1
20260729,475150,SK이터닉스,426565898,이터야 오늘도 파이팅 ♡ 너를 응원해,5
20260729,475150,SK이터닉스,426565805,60선이다.,5
20260729,475150,SK이터닉스,426565779,지하실 바닥이라고[1],7
20260729,475150,SK이터닉스,426565662,"쇼티주 투자로 승부 하세요,삼성전기 참조 하세요[1]",2
20260729,475150,SK이터닉스,426565511,바보들아,4
20260729,475150,SK이터닉스,426565002,호재 총정리[1],7
20260729,475150,SK이터닉스,426564738,추세전환 확인후[2],6
20260729,475150,SK이터닉스,426564645,유가급등,3
20260729,475150,SK이터닉스,426564500,어제 매수자가 승자다,3
20260729,475150,SK이터닉스,426564471,오늘,2
20260729,475150,SK이터닉스,426564287,상치것다고?[5],2
20260729,475150,SK이터닉스,426564134,이 뉴스를 보면 미국에서 KKR이 SK이터닉스를...,3
20260729,475150,SK이터닉스,426564051,오늘 상이여[1],3
20260729,475150,SK이터닉스,426563993,오늘 3짜[1],3
20260729,475150,SK이터닉스,426563951,어제 타라 그랬죠잉,0
20260729,475150,SK이터닉스,426563177,유가 서부텍사스유 급반등 83달러,5
20260729,475150,SK이터닉스,426562135,Oci홀딩스를 비롯 재생에너지쪽[2],14
20260729,475150,SK이터닉스,426561733,국장 분위기 안좋아서 오늘도 힘들 것 같다.,4
20260729,475150,SK이터닉스,426560917,오늘까지는 촉수 엄금이다..[1],5
20260729,475150,SK이터닉스,426560528,오르긴 오르냐,5
20260729,475150,SK이터닉스,426560017,낙폭과대 종배하라햇제,5
20260729,475150,SK이터닉스,426559203,두암이 아침부터[6],5
20260729,475150,SK이터닉스,426558694,[지나가는 스님 올시다][3],2
20260729,475150,SK이터닉스,426558535,ㅋㅋ 여긴 흥구석유인가요? 전쟁주네 완전,8
20260729,475150,SK이터닉스,426558512,큰손들 어제 종가에 들어왔다,5
20260729,475150,SK이터닉스,426558390,오늘 상치거따,8
20260729,475150,SK이터닉스,426558310,"[속보] 미군 ""이란, 중동 미군에 다수 탄도...[1]",11
20260729,475150,SK이터닉스,426558067,유가 폭등중!!미사일 발쏴[1],6
20260729,475150,SK이터닉스,426557851,유가급등 블룸에너지 급등,11
20260729,475150,SK이터닉스,426557790,하닉 만큼 뺀거네,2
20260729,475150,SK이터닉스,426557655,시가 총액이  적은 종목도  아닌데  3일만에...,2
20260729,475150,SK이터닉스,426557615,악시오스 속보!,4
20260729,475150,SK이터닉스,426557308,고점 음봉은 3개는  기본이야,0
20260729,475150,SK이터닉스,426557174,4만원 초반에 매수할라고하는데 왠지 쎄하다 계...,1
20260729,475150,SK이터닉스,426557045,투자주의 해제 인가요?[2],0
20260729,475150,SK이터닉스,426556963,오늘 8시 마감 종가[2],3
20260729,475150,SK이터닉스,426556745,블룸에너지대박+수급+공매도금지까지연장[1],9
20260729,475150,SK이터닉스,426556551,적당히올렷어야[1],8
20260729,475150,SK이터닉스,426556386,동생들 아[3],1
20260729,475150,SK이터닉스,426556324,블룸에너지 호실적 폭등중[2],19
20260729,475150,SK이터닉스,426556312,블룸에너지 가 2026년 7월 28일(현지시간)...[1],10
20260729,475150,SK이터닉스,426556231,블룸에너지 소식 들엇어??,10
20260729,475150,SK이터닉스,426556078,유가 대 폭락 - 이터닉스 주가도 대폭락[2],3
20260729,475150,SK이터닉스,426555911,오늘도 하한가인가요?[1],2
20260729,475150,SK이터닉스,426555880,테슬라(Tesla)가 글로벌 사모펀드 KKR이,7
20260729,475150,SK이터닉스,426555796,KKR SK이터닉스 미국 ESS,6
20260729,475150,SK이터닉스,426555752,SK피터지스,3
20260729,475150,SK이터닉스,426555608,블룸이 지옥에서 구출해주네,8
20260729,475150,SK이터닉스,426555483,개미를 거지로 만드는 한국 주식 시장 이되로 괜...,9
20260729,475150,SK이터닉스,426555402,Kkr 테슬라 전력계약 ㅎㄷㄷ[1],6
20260729,475150,SK이터닉스,426554402,이터닉스 주가 원동력[1],11
20260729,475150,SK이터닉스,426553537,참고로 신용미수 급락에 반대매매 당해서 원금 대...,4
20260729,475150,SK이터닉스,426552506,KKR이터닉스 이번주까지 이삿준비?,6
20260729,475150,SK이터닉스,426552478,오늘도 미장은 어제와 같은 흐름이다.,0
20260729,475150,SK이터닉스,426552390,쫄보 신용미수 거지들 많네ㅋㅋㅋ,2
20260729,475150,SK이터닉스,426552377,그냥 주포입맛대로 같다붙이기나름,5
20260729,475150,SK이터닉스,426552250,안좋네 안좋아..,2
20260729,475150,SK이터닉스,426552064,이걸 햇지주 아니라고 박박 우겼던 찬티들..[3],2
20260729,475150,SK이터닉스,426551918,힘들게 올려놨더니...,3
20260729,475150,SK이터닉스,426551801,매매하면서 이터닉스랑 비슷한 느낌이 있던 주식이...,8
20260729,475150,SK이터닉스,426551304,15만 갈려고  준비하나?,3
20260729,475150,SK이터닉스,426550951,80달러 무너짐.[1],5
20260729,475150,SK이터닉스,426550830,지금 80달러 무너지기 직전임.,3
20260729,000660,SK하이닉스,426569280,상한가 갑니다,0
20260729,000660,SK하이닉스,426569266,아 물 더 탈껄 쫄았다 ㅠㅠ,0
20260729,000660,SK하이닉스,426569251,기회줄째 도망가라,1
20260729,000660,SK하이닉스,426569240,Peakout,0
20260729,000660,SK하이닉스,426569239,오늘의 외국인 방향성은?,0
20260729,000660,SK하이닉스,426569238,영업외 로도 60조를 벌었다~,0
20260729,000660,SK하이닉스,426569227,가즈아~~ㅜㅜ,0
20260729,000660,SK하이닉스,426569218,미국은 살면서 도움 안 되는 국가다,0
20260729,000660,SK하이닉스,426569216,도대체 여기와서 저주하고 비웃는 애들은,0
20260729,000660,SK하이닉스,426569196,주가는 실적따라가는 법,1
20260729,000660,SK하이닉스,426569195,간다간다~~~~~~~~~~~~~~~~~~...,1
20260729,000660,SK하이닉스,426569188,내 글들 읽어라,0
20260729,000660,SK하이닉스,426569184,넥장에서 던진 사람?,2
20260729,000660,SK하이닉스,426569182,어제 프리장에 하한가 봤으니 오늘은 반대...,0
20260729,000660,SK하이닉스,426569178,오늘도 -10% 기대할게,1
20260729,000660,SK하이닉스,426569177,오늘은 인버스 산 개미 죽이는 날,2
20260729,000660,SK하이닉스,426569113,맛간 애들 많네[1],3
20260729,000660,SK하이닉스,426569112,ㄴ,0
20260729,000660,SK하이닉스,426569099,오늘 10%만,1
20260729,000660,SK하이닉스,426569098,140만원은 찍고 슈퍼반등 출발할듯,1
20260729,000660,SK하이닉스,426569065,삼전닉스는 중국 반도체를 죽여라,4
20260729,000660,SK하이닉스,426569048,100만원 아래로가면 슬슬 뉴스에 안좋은...,0
20260729,000660,SK하이닉스,426569002,키옥시아,0
20260729,000660,SK하이닉스,426568992,이걸또살려줘?ㅋㅋ,2
20260729,000660,SK하이닉스,426568991,오늘 이다,0
20260729,000660,SK하이닉스,426568990,실적발표의 의미,0
20260729,000660,SK하이닉스,426568989,진짜 ㅋㅋ,1
20260729,000660,SK하이닉스,426568978,영업익이 3짜에서 6짜로 바꼇다,0
