date,code,hhmm,price,volume
20260904,000220,0901,3805,3
20260904,000220,0902,3805,0
20260904,000220,0903,3805,0
20260904,000220,0904,3805,0
20260904,000220,0905,3805,0
20260904,000220,0906,3805,0
20260904,000220,0907,3805,0
20260904,000220,0908,3800,1287
20260904,000220,0909,3800,0
20260904,000220,0910,3825,4
20260904,000220,0911,3825,0
20260904,000220,0912,3825,0
20260904,000220,0913,3825,0
20260904,000220,0914,3825,0
20260904,000220,0915,3825,0
20260904,000220,0916,3820,1
20260904,000220,0917,3820,0
20260904,000220,0918,3820,0
20260904,000220,0919,3820,0
20260904,000220,0920,3825,652
20260904,000220,0921,3825,653
20260904,000220,0922,3830,297
20260904,000220,0923,3830,0
20260904,000220,0924,3830,0
20260904,000220,0925,3830,150
20260904,000220,0926,3830,180
20260904,000220,0927,3830,20
20260904,000220,0928,3830,0
20260904,000220,0929,3830,0
20260904,000220,0930,3835,5
20260904,000220,0931,3835,0
20260904,000220,0932,3825,213
20260904,000220,0933,3835,213
20260904,000220,0934,3835,11
20260904,000220,0935,3820,1
20260904,000220,0936,3820,0
20260904,000220,0937,3835,7
20260904,000220,0938,3835,0
20260904,000220,0939,3835,0
20260904,000220,0940,3835,0
20260904,000220,0941,3835,0
20260904,000220,0942,3835,6
20260904,000220,0943,3810,130
20260904,000220,0944,3810,0
20260904,000220,0945,3830,4
20260904,000220,0946,3830,0
20260904,000220,0947,3830,0
20260904,000220,0948,3830,0
20260904,000220,0949,3830,3
20260904,000220,0950,3830,0
20260904,000220,0951,3830,0
20260904,000220,0952,3830,0
20260904,000220,0953,3830,0
20260904,000220,0954,3830,0
20260904,000220,0955,3830,0
20260904,000220,0956,3830,0
20260904,000220,0957,3830,0
20260904,000220,0958,3830,0
20260904,000220,0959,3830,0
20260904,000220,1000,3830,0
20260904,000220,1001,3830,0
20260904,000220,1002,3810,31
20260904,000220,1003,3810,0
20260904,000220,1004,3810,0
20260904,000220,1005,3810,0
20260904,000220,1006,3810,0
20260904,000220,1007,3810,0
20260904,000220,1008,3810,0
20260904,000220,1009,3830,3
20260904,000220,1010,3830,0
20260904,000220,1011,3830,0
20260904,000220,1012,3830,0
20260904,000220,1013,3830,0
20260904,000220,1014,3830,0
20260904,000220,1015,3830,0
20260904,000220,1016,3830,0
20260904,000220,1017,3805,1158
20260904,000220,1018,3805,0
20260904,000220,1019,3805,0
20260904,000220,1020,3810,1
20260904,000220,1021,3810,1
20260904,000220,1022,3810,0
20260904,000220,1023,3810,0
20260904,000220,1024,3810,0
20260904,000220,1025,3810,1
20260904,000220,1026,3810,2
20260904,000220,1027,3810,1
20260904,000220,1028,3810,0
20260904,000220,1029,3810,0
20260904,000220,1030,3810,80
20260904,000220,1031,3810,2
20260904,000220,1032,3800,130
20260904,000220,1033,3800,24
20260904,000220,1034,3800,0
20260904,000220,1035,3805,3
20260904,000220,1036,3805,107
20260904,000220,1037,3805,0
20260904,000220,1038,3775,1301
20260904,000220,1039,3805,22
20260904,000220,1040,3800,4
20260904,000220,1041,3785,1
20260904,000220,1042,3795,51
20260904,000220,1043,3805,8
20260904,000220,1044,3805,0
20260904,000220,1045,3805,0
20260904,000220,1046,3805,0
20260904,000220,1047,3805,0
20260904,000220,1048,3805,70
20260904,000220,1049,3805,0
20260904,000220,1050,3805,1
20260904,000220,1051,3805,0
20260904,000220,1052,3805,0
20260904,000220,1053,3805,1
20260904,000220,1054,3805,0
20260904,000220,1055,3805,0
20260904,000220,1056,3805,0
20260904,000220,1057,3790,862
20260904,000220,1058,3790,0
20260904,000220,1059,3790,0
20260904,000220,1100,3810,4
20260904,000220,1101,3810,0
20260904,000220,1102,3810,22
20260904,000220,1103,3810,0
20260904,000220,1104,3810,200
20260904,000220,1105,3810,2
20260904,000220,1106,3810,2
20260904,000220,1107,3810,0
20260904,000220,1108,3810,0
20260904,000220,1109,3800,701
20260904,000220,1110,3810,101
20260904,000220,1111,3825,2
20260904,000220,1112,3825,0
20260904,000220,1113,3825,0
20260904,000220,1114,3795,343
20260904,000220,1115,3830,60
20260904,000220,1116,3830,100
20260904,000220,1117,3830,0
20260904,000220,1118,3800,36
20260904,000220,1119,3825,1
20260904,000220,1120,3825,0
20260904,000220,1121,3825,0
20260904,000220,1122,3825,0
20260904,000220,1123,3825,2
20260904,000220,1124,3825,0
20260904,000220,1125,3825,0
20260904,000220,1126,3825,0
20260904,000220,1127,3825,0
20260904,000220,1128,3825,0
20260904,000220,1129,3825,1
20260904,000220,1130,3825,0
20260904,000220,1131,3825,0
20260904,000220,1132,3830,18
20260904,000220,1133,3830,0
20260904,000220,1134,3830,0
20260904,000220,1135,3830,0
20260904,000220,1136,3800,569
20260904,000220,1137,3800,0
20260904,000220,1138,3800,0
20260904,000220,1139,3800,0
20260904,000220,1140,3800,31
20260904,000220,1141,3800,0
20260904,000220,1142,3815,1
20260904,000220,1143,3810,63
20260904,000220,1144,3795,35
20260904,000220,1145,3795,0
