종목명,현재가,등락률,당일_게시글수,현재_외국인비중,시장구분,어제_종가,어제_외국인비중,게시물_요약,감정분석,Top_Keyword,연속_등록,latest_posts,code
주성엔지니어링,72800,+19.34%,252,11.35%,KOSDAQ,61000.0,9.63%,불안하신 분은 필독) / 뉴스 보셨죠? -  삼전의 M&A 가능성 대두....[9] / 월요일도...15~20% 내외 상승 예상[4] / +소부장 Top Pickup 1으로 찜~1년 가...[3],Positive (60%),"오늘, ..., 상한가",1,"[{'title': '불안하신 분은 필독)', 'date': '2026.03.20 16:17', 'views': '320', 'likes': '13', 'dislikes': '5', 'link': '/item/board_read.naver?code=036930&nid=415513340&page=2', 'score': 710}, {'title': '+소부장 Top Pickup 1으로 찜~1년 가...[3]', 'date': '2026.03.20 16:49', 'views': '183', 'likes': '11', 'dislikes': '4', 'link': '/item/board_read.naver?code=036930&nid=415515572&page=1', 'score': 513}, {'title': '월요일도...15~20% 내외 상승 예상[4]', 'date': '2026.03.20 15:20', 'views': '249', 'likes': '10', 'dislikes': '7', 'link': '/item/board_read.naver?code=036930&nid=415506370&page=3', 'score': 549}, {'title': '외국인 역대급 매수', 'date': '2026.03.20 16:13', 'views': '221', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=036930&nid=415512980&page=2', 'score': 491}, {'title': '한미반도체가 본딩장비로 재평가 받았듯이[2]', 'date': '2026.03.20 14:31', 'views': '205', 'likes': '9', 'dislikes': '2', 'link': '/item/board_read.naver?code=036930&nid=415498603&page=4', 'score': 475}, {'title': '이 정도면 쩜상 가야지[1]', 'date': '2026.03.20 12:09', 'views': '221', 'likes': '9', 'dislikes': '1', 'link': '/item/board_read.naver?code=036930&nid=415477137&page=6', 'score': 491}, {'title': '뉴스 보셨죠? -  삼전의 M&A 가능성 대두....[9]', 'date': '2026.03.20 18:43', 'views': '322', 'likes': '8', 'dislikes': '6', 'link': '/item/board_read.naver?code=036930&nid=415522176&page=1', 'score': 562}, {'title': '고맙다 시외에서 싸게 던져줘서[1]', 'date': '2026.03.20 18:07', 'views': '93', 'likes': '7', 'dislikes': '3', 'link': '/item/board_read.naver?code=036930&nid=415520385&page=1', 'score': 303}, {'title': '공매도는 숏커버 안할까?[2]', 'date': '2026.03.20 16:04', 'views': '193', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=036930&nid=415512174&page=2', 'score': 403}, {'title': '본드로 시가 총액 30조---- 신노광장비...', 'date': '2026.03.20 10:21', 'views': '143', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=036930&nid=415457543&page=8', 'score': 353}]",036930
우진,31200,+19.31%,123,11.47%,KOSPI,26150.0,9.43%,원전해체1위[1] / [AI 요약] 우진의 단일판매ㆍ공급계약 ...[1] / 시간외 5시 30분후에 만주 몰빵[1] / ■우리기술 > 우진으로 순환매 첫 도입이네요!...,Positive (87%),"오늘, 우진, 이상",1,"[{'title': '원전해체1위[1]', 'date': '2026.03.20 10:17', 'views': '330', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=105840&nid=415456769&page=6', 'score': 660}, {'title': '■우리기술 > 우진으로 순환매 첫 도입이네요!...', 'date': '2026.03.20 15:33', 'views': '64', 'likes': '9', 'dislikes': '0', 'link': '/item/board_read.naver?code=105840&nid=415508292&page=2', 'score': 334}, {'title': '님들 시총 2조 가능하다고 보심????', 'date': '2026.03.20 15:23', 'views': '46', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=105840&nid=415506832&page=2', 'score': 226}, {'title': '종가 풀매수[1]', 'date': '2026.03.20 15:55', 'views': '104', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=105840&nid=415511288&page=1', 'score': 254}, {'title': '어디가 찐일까?', 'date': '2026.03.20 15:15', 'views': '48', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=105840&nid=415505510&page=2', 'score': 198}, {'title': '상가자[1]', 'date': '2026.03.20 14:37', 'views': '89', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=105840&nid=415499569&page=3', 'score': 239}, {'title': '[AI 요약] 우진의 단일판매ㆍ공급계약 ...[1]', 'date': '2026.03.20 13:55', 'views': '244', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=105840&nid=415492926&page=4', 'score': 394}, {'title': '시간외 5시 30분후에 만주 몰빵[1]', 'date': '2026.03.20 15:44', 'views': '215', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=105840&nid=415509911&page=1', 'score': 335}, {'title': '물린 주주들도 없고[1]', 'date': '2026.03.20 15:42', 'views': '109', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=105840&nid=415509703&page=1', 'score': 229}, {'title': '개미 50만주 매도 외인기관50만주 매수[1]', 'date': '2026.03.20 15:39', 'views': '93', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=105840&nid=415509272&page=1', 'score': 213}]",105840
SK증권,2585,+18.58%,756,7.03%,KOSPI,2180.0,6.40%,봐라 또 개미들만 팔았제 ?[2] / ㅎ ㅎ ㅎ / 오늘의 시황//그리고 액면병합 모멘텀은 계속 유...[1] / 개인만 열라게[2],Positive (62%),"오늘, 프로그램, 상한가",1,"[{'title': '개인만 열라게[2]', 'date': '2026.03.20 15:42', 'views': '216', 'likes': '16', 'dislikes': '2', 'link': '/item/board_read.naver?code=001510&nid=415509682&page=4', 'score': 696}, {'title': '봐라 또 개미들만 팔았제 ?[2]', 'date': '2026.03.20 15:36', 'views': '491', 'likes': '16', 'dislikes': '1', 'link': '/item/board_read.naver?code=001510&nid=415508782&page=4', 'score': 971}, {'title': '오늘의 시황//그리고 액면병합 모멘텀은 계속 유...[1]', 'date': '2026.03.20 18:59', 'views': '352', 'likes': '14', 'dislikes': '3', 'link': '/item/board_read.naver?code=001510&nid=415522976&page=1', 'score': 772}, {'title': '솔직히 형들', 'date': '2026.03.20 17:50', 'views': '293', 'likes': '13', 'dislikes': '4', 'link': '/item/board_read.naver?code=001510&nid=415519424&page=2', 'score': 683}, {'title': '증권주 비교하면 적정가 5~6천이상은 가야...[2]', 'date': '2026.03.20 15:59', 'views': '290', 'likes': '13', 'dislikes': '2', 'link': '/item/board_read.naver?code=001510&nid=415511679&page=4', 'score': 680}, {'title': 'ㅎ ㅎ ㅎ', 'date': '2026.03.20 18:09', 'views': '541', 'likes': '12', 'dislikes': '3', 'link': '/item/board_read.naver?code=001510&nid=415520530&page=1', 'score': 901}, {'title': '아직 저평가 야', 'date': '2026.03.20 18:41', 'views': '166', 'likes': '11', 'dislikes': '2', 'link': '/item/board_read.naver?code=001510&nid=415522092&page=1', 'score': 496}, {'title': '개미 짜였네 짜였어ㅋㅋㅋ[1]', 'date': '2026.03.20 15:38', 'views': '200', 'likes': '11', 'dislikes': '0', 'link': '/item/board_read.naver?code=001510&nid=415509133&page=4', 'score': 530}, {'title': '또 개미만 털림', 'date': '2026.03.20 15:36', 'views': '274', 'likes': '11', 'dislikes': '1', 'link': '/item/board_read.naver?code=001510&nid=415508740&page=4', 'score': 604}, {'title': '길게 보세요 거래량은 못 속입니다 1차 300...', 'date': '2026.03.20 15:32', 'views': '238', 'likes': '11', 'dislikes': '2', 'link': '/item/board_read.naver?code=001510&nid=415508198&page=5', 'score': 568}]",001510
대우건설,19110,+18.18%,800,11.54%,KOSPI,16170.0,11.28%,시간외  단가~~~~[4] / 투자 경보는 시총 100위내에는 해당안됨 '중복...[1] / 월요일엄청쏠듯[2] / 상한가  한방없이 여지껏  이리 말아올린  주...[2],Positive (61%),"오늘, 대우건설, 이거",1,"[{'title': '시간외  단가~~~~[4]', 'date': '2026.03.20 18:01', 'views': '991', 'likes': '39', 'dislikes': '0', 'link': '/item/board_read.naver?code=047040&nid=415520059&page=1', 'score': 2161}, {'title': ""투자 경보는 시총 100위내에는 해당안됨 '중복...[1]"", 'date': '2026.03.20 18:31', 'views': '614', 'likes': '38', 'dislikes': '1', 'link': '/item/board_read.naver?code=047040&nid=415521635&page=1', 'score': 1754}, {'title': '대우야 니가 삼전 하닉 현기차보다 효자다......', 'date': '2026.03.20 15:55', 'views': '194', 'likes': '35', 'dislikes': '0', 'link': '/item/board_read.naver?code=047040&nid=415511194&page=4', 'score': 1244}, {'title': '월요일엄청쏠듯[2]', 'date': '2026.03.20 17:15', 'views': '601', 'likes': '33', 'dislikes': '3', 'link': '/item/board_read.naver?code=047040&nid=415517331&page=2', 'score': 1591}, {'title': '금일 상한가 21,000원[1]', 'date': '2026.03.20 11:13', 'views': '146', 'likes': '33', 'dislikes': '5', 'link': '/item/board_read.naver?code=047040&nid=415467547&page=30', 'score': 1136}, {'title': '상한가  한방없이 여지껏  이리 말아올린  주...[2]', 'date': '2026.03.20 15:51', 'views': '468', 'likes': '32', 'dislikes': '0', 'link': '/item/board_read.naver?code=047040&nid=415510710&page=4', 'score': 1428}, {'title': '2만원 가면 호가 50원씩~~', 'date': '2026.03.20 15:52', 'views': '185', 'likes': '27', 'dislikes': '1', 'link': '/item/board_read.naver?code=047040&nid=415510815&page=4', 'score': 995}, {'title': '5년 기다린 보람있네요.[3]', 'date': '2026.03.20 16:04', 'views': '547', 'likes': '26', 'dislikes': '0', 'link': '/item/board_read.naver?code=047040&nid=415512192&page=4', 'score': 1327}, {'title': '월요일에 갭 뜰 것 같은데', 'date': '2026.03.20 17:53', 'views': '110', 'likes': '23', 'dislikes': '1', 'link': '/item/board_read.naver?code=047040&nid=415519631&page=1', 'score': 800}, {'title': '10만원  직행......[1]', 'date': '2026.03.20 16:24', 'views': '287', 'likes': '23', 'dislikes': '2', 'link': '/item/board_read.naver?code=047040&nid=415513878&page=3', 'score': 977}]",047040
하림지주,17700,+17.22%,212,8.95%,KOSDAQ,15100.0,7.67%,묻어 두면  몇배 ![1] / 매집중[3] / 차트충은 아니지만...[4] / 안녕하세요 차티스트입니다.,Positive (64%),"형이, 오늘, 양재동",1,"[{'title': '양재동 상법', 'date': '2026.03.20 14:59', 'views': '244', 'likes': '21', 'dislikes': '2', 'link': '/item/board_read.naver?code=003380&nid=415502969&page=2', 'score': 874}, {'title': '매집중[3]', 'date': '2026.03.20 11:18', 'views': '385', 'likes': '21', 'dislikes': '4', 'link': '/item/board_read.naver?code=003380&nid=415468347&page=6', 'score': 1015}, {'title': '[하림지주 공유][3]', 'date': '2026.03.20 10:37', 'views': '227', 'likes': '18', 'dislikes': '1', 'link': '/item/board_read.naver?code=003380&nid=415460583&page=8', 'score': 767}, {'title': '안녕하세요 차티스트입니다.', 'date': '2026.03.20 16:20', 'views': '394', 'likes': '17', 'dislikes': '3', 'link': '/item/board_read.naver?code=003380&nid=415513578&page=1', 'score': 904}, {'title': '묻어 두면  몇배 ![1]', 'date': '2026.03.20 15:44', 'views': '549', 'likes': '16', 'dislikes': '2', 'link': '/item/board_read.naver?code=003380&nid=415509939&page=2', 'score': 1029}, {'title': '차트충은 아니지만...[4]', 'date': '2026.03.20 15:32', 'views': '461', 'likes': '16', 'dislikes': '0', 'link': '/item/board_read.naver?code=003380&nid=415508104&page=2', 'score': 941}, {'title': '갈 수 밖에 없는 이유', 'date': '2026.03.20 14:41', 'views': '167', 'likes': '15', 'dislikes': '1', 'link': '/item/board_read.naver?code=003380&nid=415500156&page=3', 'score': 617}, {'title': '월요일 20000원 찍고 화요일 발표하자[1]', 'date': '2026.03.20 13:41', 'views': '201', 'likes': '15', 'dislikes': '3', 'link': '/item/board_read.naver?code=003380&nid=415490894&page=4', 'score': 651}, {'title': '팩트 공유~ 3/17일 2시 양재동 부지 건...[1]', 'date': '2026.03.20 12:08', 'views': '362', 'likes': '15', 'dislikes': '1', 'link': '/item/board_read.naver?code=003380&nid=415476901&page=6', 'score': 812}, {'title': '오늘은 지주사들 날이구만', 'date': '2026.03.20 11:35', 'views': '110', 'likes': '13', 'dislikes': '2', 'link': '/item/board_read.naver?code=003380&nid=415471552&page=6', 'score': 500}]",003380
지투파워,13500,+15.29%,116,8.40%,KOSDAQ,11710.0,4.86%,오랜만에 글써봅니다.[3] / 3년의 저항 뚫음 / 신고가 영역이라 / ▣ 1.4만 터치하는 순간...,Positive (57%),"윗꼬리, 내가, 이상",1,"[{'title': '오랜만에 글써봅니다.[3]', 'date': '2026.03.20 13:40', 'views': '291', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=388050&nid=415490676&page=3', 'score': 471}, {'title': '3년의 저항 뚫음', 'date': '2026.03.20 16:28', 'views': '90', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=388050&nid=415514142&page=1', 'score': 210}, {'title': '다음주 대장 이겠네', 'date': '2026.03.20 15:21', 'views': '43', 'likes': '3', 'dislikes': '1', 'link': '/item/board_read.naver?code=388050&nid=415506512&page=1', 'score': 133}, {'title': '신고가 영역이라', 'date': '2026.03.20 13:36', 'views': '72', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=388050&nid=415490070&page=3', 'score': 162}, {'title': '<진짜 한결같다 너도.', 'date': '2026.03.20 11:01', 'views': '36', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=388050&nid=415465467&page=4', 'score': 126}, {'title': '여기 주포 개양이라 윗꼬리 조심하소', 'date': '2026.03.20 11:01', 'views': '26', 'likes': '3', 'dislikes': '0', 'link': '/item/board_read.naver?code=388050&nid=415465361&page=4', 'score': 116}, {'title': '4만 이상은 가이지♡', 'date': '2026.03.20 19:03', 'views': '16', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=388050&nid=415523174&page=1', 'score': 76}, {'title': '▣ 1.4만 터치하는 순간...', 'date': '2026.03.20 11:32', 'views': '74', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=388050&nid=415471054&page=3', 'score': 134}, {'title': '윗꼬리 전문 상한가 없는 종목임[1]', 'date': '2026.03.20 10:49', 'views': '31', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=388050&nid=415462920&page=4', 'score': 91}, {'title': '이게', 'date': '2026.03.20 10:35', 'views': '22', 'likes': '2', 'dislikes': '0', 'link': '/item/board_read.naver?code=388050&nid=415460191&page=4', 'score': 82}]",388050
카나프테라퓨틱스,52200,+14.98%,297,1.47%,KOSDAQ,45400.0,0.51%,목표가 10만원 갑시다.[2] / 시외상이가?[2] / 참 이상해.. 3분기 기준 아이엠바이오로직스 ... / 단일가로 상승할 확률이 높아보이네요[1],Positive (58%),"오늘은, 오늘, 아이엠",1,"[{'title': '목표가 10만원 갑시다.[2]', 'date': '2026.03.20 15:55', 'views': '249', 'likes': '10', 'dislikes': '1', 'link': '/item/board_read.naver?code=0082N0&nid=415511206&page=3', 'score': 549}, {'title': '시외상이가?[2]', 'date': '2026.03.20 15:46', 'views': '134', 'likes': '8', 'dislikes': '1', 'link': '/item/board_read.naver?code=0082N0&nid=415510141&page=3', 'score': 374}, {'title': '면역항암제[1]', 'date': '2026.03.20 14:48', 'views': '55', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=0082N0&nid=415501211&page=7', 'score': 265}, {'title': '참 이상해.. 3분기 기준 아이엠바이오로직스 ...', 'date': '2026.03.20 09:16', 'views': '116', 'likes': '7', 'dislikes': '0', 'link': '/item/board_read.naver?code=0082N0&nid=415441602&page=14', 'score': 326}, {'title': '매동! 외인/기관 양끌이 매수~[1]', 'date': '2026.03.20 15:36', 'views': '80', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=0082N0&nid=415508796&page=3', 'score': 260}, {'title': '또 속았수다', 'date': '2026.03.20 12:36', 'views': '25', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=0082N0&nid=415480879&page=9', 'score': 205}, {'title': '단일가로 상승할 확률이 높아보이네요[1]', 'date': '2026.03.20 15:42', 'views': '168', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=0082N0&nid=415509687&page=3', 'score': 318}, {'title': '어짜피[1]', 'date': '2026.03.20 14:09', 'views': '51', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=0082N0&nid=415495129&page=8', 'score': 201}, {'title': '재미없네', 'date': '2026.03.20 12:57', 'views': '16', 'likes': '5', 'dislikes': '0', 'link': '/item/board_read.naver?code=0082N0&nid=415483933&page=9', 'score': 166}, {'title': '어제 기도가 통했네[2]', 'date': '2026.03.20 11:58', 'views': '39', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=0082N0&nid=415475444&page=10', 'score': 189}]",0082N0
에이프로젠,343,+14.33%,116,6.75%,KOSPI,300.0,7.76%,감사보고서 장종료 하고 나올거임.담주450원 넘으...[2] / 이회사는 진짜[1] / 느낌에...[1] / 20연상 가야지[1],Positive (69%),"-오빠들, 이상, 상승했어요",1,"[{'title': '이회사는 진짜[1]', 'date': '2026.03.20 10:56', 'views': '72', 'likes': '7', 'dislikes': '2', 'link': '/item/board_read.naver?code=007460&nid=415464456&page=3', 'score': 282}, {'title': '20연상 가야지[1]', 'date': '2026.03.20 09:30', 'views': '80', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=007460&nid=415445608&page=5', 'score': 260}, {'title': '기술적 반등일 뿐,,,ㅎㅎ[2]', 'date': '2026.03.20 16:55', 'views': '76', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=007460&nid=415515936&page=1', 'score': 226}, {'title': '오늘360원 안착[1]', 'date': '2026.03.20 14:58', 'views': '90', 'likes': '5', 'dislikes': '3', 'link': '/item/board_read.naver?code=007460&nid=415502818&page=1', 'score': 240}, {'title': '장 끝나고', 'date': '2026.03.20 14:57', 'views': '52', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=007460&nid=415502648&page=1', 'score': 202}, {'title': '감사보고서 장종료 하고 나올거임.담주450원 넘으...[2]', 'date': '2026.03.20 14:42', 'views': '243', 'likes': '5', 'dislikes': '10', 'link': '/item/board_read.naver?code=007460&nid=415500219&page=1', 'score': 393}, {'title': '또 이러네... 재섭고 정줄논 넘드라[1]', 'date': '2026.03.20 11:45', 'views': '48', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=007460&nid=415473398&page=3', 'score': 198}, {'title': '불쌍한 개미들....[1]', 'date': '2026.03.20 16:04', 'views': '130', 'likes': '4', 'dislikes': '4', 'link': '/item/board_read.naver?code=007460&nid=415512154&page=1', 'score': 250}, {'title': '느낌에...[1]', 'date': '2026.03.20 13:26', 'views': '160', 'likes': '4', 'dislikes': '2', 'link': '/item/board_read.naver?code=007460&nid=415488389&page=2', 'score': 280}, {'title': '원전주', 'date': '2026.03.20 11:44', 'views': '74', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=007460&nid=415473151&page=3', 'score': 194}]",007460
삼천당제약,907000,+14.09%,630,6.20%,KOSDAQ,795000.0,5.89%,"[[[삼천당꿈(시즌2)]]] - 삼천당의 자신...[18] / [[[삼천당꿈(시즌2)]]]  -경구인슐린 100...[26] / 공매와 안티야, 형이야[11] / 3월 주총과 4월 20일 IR에서 듣고 싶...[5]",Positive (61%),"코스닥, 삼천당, 오늘",1,"[{'title': '[[[삼천당꿈(시즌2)]]] - 삼천당의 자신...[18]', 'date': '2026.03.20 09:05', 'views': '1321', 'likes': '145', 'dislikes': '2', 'link': '/item/board_read.naver?code=000250&nid=415438916&page=31', 'score': 5671}, {'title': '[[[삼천당꿈(시즌2)]]]  -경구인슐린 100...[26]', 'date': '2026.03.20 12:05', 'views': '615', 'likes': '141', 'dislikes': '1', 'link': '/item/board_read.naver?code=000250&nid=415476519&page=15', 'score': 4845}, {'title': '공매와 안티야, 형이야[11]', 'date': '2026.03.20 16:41', 'views': '454', 'likes': '92', 'dislikes': '1', 'link': '/item/board_read.naver?code=000250&nid=415515012&page=4', 'score': 3214}, {'title': '나의 10대 소원[8]', 'date': '2026.03.20 15:53', 'views': '420', 'likes': '90', 'dislikes': '1', 'link': '/item/board_read.naver?code=000250&nid=415510993&page=5', 'score': 3120}, {'title': '터제파타이드 경구용 daily & weekly...[9]', 'date': '2026.03.20 15:40', 'views': '554', 'likes': '88', 'dislikes': '0', 'link': '/item/board_read.naver?code=000250&nid=415509385&page=6', 'score': 3194}, {'title': '가슴이 또[5]', 'date': '2026.03.20 16:10', 'views': '566', 'likes': '84', 'dislikes': '2', 'link': '/item/board_read.naver?code=000250&nid=415512731&page=4', 'score': 3086}, {'title': '3월 주총과 4월 20일 IR에서 듣고 싶...[5]', 'date': '2026.03.20 16:56', 'views': '751', 'likes': '82', 'dislikes': '5', 'link': '/item/board_read.naver?code=000250&nid=415515999&page=4', 'score': 3211}, {'title': 'PeternAnne님 감사합니다^^[7]', 'date': '2026.03.20 15:57', 'views': '377', 'likes': '79', 'dislikes': '0', 'link': '/item/board_read.naver?code=000250&nid=415511422&page=5', 'score': 2747}, {'title': '주주분들, 코스닥 1위 달성을 축하드립니다[5]', 'date': '2026.03.20 18:01', 'views': '422', 'likes': '78', 'dislikes': '0', 'link': '/item/board_read.naver?code=000250&nid=415520063&page=2', 'score': 2762}, {'title': '대한민국에 위해주 애널리스트 말고 전부 외...[3]', 'date': '2026.03.20 18:31', 'views': '464', 'likes': '73', 'dislikes': '0', 'link': '/item/board_read.naver?code=000250&nid=415521650&page=2', 'score': 2654}]",000250
아남전자,1774,+12.71%,105,2.10%,KOSPI,1574.0,1.99%,9년 만에 주총참여[1] / 전체주식 33%나 매수+소각은.증시역사 최초.....[1] / 3연상간다[2] / 욕심없이 잘 먹고갑니다,Positive (64%),"공개매수, 이상, 상승했어요",1,"[{'title': '9년 만에 주총참여[1]', 'date': '2026.03.20 11:40', 'views': '421', 'likes': '25', 'dislikes': '0', 'link': '/item/board_read.naver?code=008700&nid=415472484&page=3', 'score': 1171}, {'title': '3연상간다[2]', 'date': '2026.03.20 09:11', 'views': '175', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=008700&nid=415440381&page=5', 'score': 385}, {'title': '전체주식 33%나 매수+소각은.증시역사 최초.....[1]', 'date': '2026.03.20 16:36', 'views': '241', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=008700&nid=415514670&page=1', 'score': 421}, {'title': '욕심없이 잘 먹고갑니다', 'date': '2026.03.20 09:06', 'views': '176', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=008700&nid=415439116&page=5', 'score': 356}, {'title': '매수가 1560원보다 올라가면', 'date': '2026.03.20 08:21', 'views': '85', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=008700&nid=415432634&page=6', 'score': 265}, {'title': '유통주식 반을. 소각 5연상', 'date': '2026.03.20 11:27', 'views': '104', 'likes': '5', 'dislikes': '4', 'link': '/item/board_read.naver?code=008700&nid=415470137&page=3', 'score': 254}, {'title': '매각 포지션 보다 엠엔에이 인것같다[3]', 'date': '2026.03.20 10:43', 'views': '168', 'likes': '5', 'dislikes': '2', 'link': '/item/board_read.naver?code=008700&nid=415461642&page=3', 'score': 318}, {'title': '공개매수 소각 한다는건', 'date': '2026.03.20 09:01', 'views': '66', 'likes': '5', 'dislikes': '1', 'link': '/item/board_read.naver?code=008700&nid=415437807&page=5', 'score': 216}, {'title': '36층 주민입니다.', 'date': '2026.03.20 15:56', 'views': '92', 'likes': '4', 'dislikes': '1', 'link': '/item/board_read.naver?code=008700&nid=415511332&page=1', 'score': 212}, {'title': '시작 동시호가 끝나는 동시호가[1]', 'date': '2026.03.20 15:31', 'views': '111', 'likes': '4', 'dislikes': '0', 'link': '/item/board_read.naver?code=008700&nid=415507932&page=1', 'score': 231}]",008700
휴림에이텍,1020,+11.84%,140,2.63%,KOSDAQ,912.0,1.31%,휴림로봇과 키맞춤 할거야[3] / ■제2의 우리기술주다[1] / 텐버거 종목 같다[1] / 헤헤헤헤[1],Positive (64%),"..., 이상, 3시",1,"[{'title': '상철아 ㅡ', 'date': '2026.03.20 13:55', 'views': '27', 'likes': '8', 'dislikes': '0', 'link': '/item/board_read.naver?code=078590&nid=415492834&page=4', 'score': 267}, {'title': '헤헤헤헤[1]', 'date': '2026.03.20 16:50', 'views': '63', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=078590&nid=415515630&page=1', 'score': 273}, {'title': '공포에사라', 'date': '2026.03.20 14:38', 'views': '28', 'likes': '7', 'dislikes': '1', 'link': '/item/board_read.naver?code=078590&nid=415499587&page=2', 'score': 238}, {'title': '텐버거 종목 같다[1]', 'date': '2026.03.20 15:33', 'views': '138', 'likes': '6', 'dislikes': '2', 'link': '/item/board_read.naver?code=078590&nid=415508262&page=1', 'score': 318}, {'title': '신바거!', 'date': '2026.03.20 14:37', 'views': '22', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=078590&nid=415499557&page=2', 'score': 202}, {'title': '대차게 들어올려라~~~~~', 'date': '2026.03.20 14:24', 'views': '26', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=078590&nid=415497582&page=3', 'score': 206}, {'title': '상 상 상', 'date': '2026.03.20 13:51', 'views': '29', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=078590&nid=415492355&page=4', 'score': 209}, {'title': '천원 뚫기[1]', 'date': '2026.03.20 13:26', 'views': '81', 'likes': '6', 'dislikes': '1', 'link': '/item/board_read.naver?code=078590&nid=415488372&page=5', 'score': 261}, {'title': '■제2의 우리기술주다[1]', 'date': '2026.03.20 12:39', 'views': '192', 'likes': '6', 'dislikes': '3', 'link': '/item/board_read.naver?code=078590&nid=415481237&page=5', 'score': 372}, {'title': '휴림로봇과 키맞춤 할거야[3]', 'date': '2026.03.20 12:07', 'views': '559', 'likes': '6', 'dislikes': '0', 'link': '/item/board_read.naver?code=078590&nid=415476887&page=5', 'score': 739}]",078590
